Review,Label
saw video abou banh cuon cao bang facebook friend banh cuon lover cant wait try different another kind banh cuon use gio egg make nuoc cham banh cuon taste good price ok sorry poor english skill trying improve,1
special taste quite crowded wait morning,0
nice place get delicious,1
good,1
quite dirty,0
good,1
restaurant moved lane turn left house mainly sold take away still seat dine delicious food good quality affordable price,1
favorite dish hanoi hard find restaurant like,0
cao bang banh cuon restaurant delicious ive ever eaten ive eating since new werent many people sale lady enthusiastic soup ran added later,1
delicious first time experienced unique indescribably delicious way eating delicious,1
duck meat rich pho delicious filling broth right water used make rice roll includes poached egg quick loading lot seating,1
seems normal quite expensive k full meal,0
ive eating restaurant since student year coming back restaurant moved number lane lotus pond alley bit difficult find owner everyone,0
delicious like spicy food cold climate,1
cake made according standard senior person delicious price k white cake egg cake sausage,1
cake okay omelet good broth made stewed bone still many flavor spice owner enthusiastic,1
cake soft delicious broth rich havent given star yet sausage isnt delicious enough egg tart depend person taste im satisfied,1
cake delicious service enthusiastic number product sold plateau food delicious wait little longer,1
broth hot delicious adding egg sausage roll perfect cold winter day,1
actually cb roll better memory bit bold taste edible cake soft fragrant filling chance still come back,1
strange way eating usually eating banh cuon dipping sauce made mixed fish sauce banh cuon banh cuon dipped broth simmered dew strange delicious,1
food delicious price expensive,1
delicious delicious cake soup suitable cold weather,1
broth also quite delicious roll bit small,1
edible bit unkempt floor sprayed detergent every day smell bad,0
banh cuon true cb taste made cao bang people chili bamboo shoot cake everything delicious,1
banh cuon delicious eating bit boring,1
okay eat portion tiny piece k expensive,0
banh cuon made style cao bang people coated rice paper flavor soft price slightly higher,1
good food service attitude good slow,1
great,1
popular place serf breakfast edible food,1
ive never eaten bad roll,0
delicious nutritious cheap eaten several time,1
delicious food slow prepare forgetful,1
edible cake sour bamboo shoot delicious,1
quite good cleaner previous owner eat well,1
delicious suitable taste meal serving,1
eaten time found unhygienic poor service,0
delicious cake spacious car parking space,1
delicious roll rich broth,1
delicious fast hot food satisfied,1
food normal nothing special price quite expensive,0
delicious restaurant reasonable price,1
banh cuon quite delicious bit expensive,1
banh cuon noodle soup strange delicious,1
food unique delicious owner funny,1
great boring eat much suitable winter,1
went winter sunday food good,1
quite delicious moderate price,1
quite delicious spacious seating,1
interesting delicious experience,1
delicious reasonable price,1
delicious many cao bang dish,1
delicious expensive,1
selling expensive cutting customer,0
good restaurant reasonable price,1
food quite delicious unique,1
food okay bit expensive,0
good food cheap price,1
cake delicious,1
delicious cheap nice location,1
expensive delicious,1
food quite delicious,1
delicious food,1
unprofessional sale,1
delicious breakfast,1
cheap delicious,1
delicious easy eat,1
delicious,1
delicious clean cake,1
also delicious,1
tasty,1
pretty good star,1
delicious cake,1
quite delicious,1
clean,1
food decent form,1
bit expensive,0
breakfast okay,1
tasty,1
tasty,1
tasty,1
