Review,Label
second time coming back chicken corn cake still find taste strange attractive shop also sell lightly people often buy take away price everyone try next time try another flavor,1
tofu tofu delicious suitable summer food tofu tofu soft easy eat bread okay price also high however seating bit limited sitting street front shop indoor seating people often come buy take away,1
delicious bread fairly cheap price service also fast,1
delicious unique chicken sandwich crowded crowded youll wait little longer,1
bread still delicious staff bad attitude towards customer dont know whats going dont answer question ordering bread thrown table order mixed bread like,1
first two time bought cake quite good wasnt third time bought cake encountered situation cake crispy usual cake hot tried eat came across,1
today visited chicken sandwich shop nearby experience expected chicken sandwich seems bit greasy due amount butter used creating feeling loss appetite bite throw,0
reasonable price delicious corn chicken cake easy eat fatty filling frequently queue noon rush hour customer student office worker nearby,1
delicious bread reasonable price delicious exclusive sauce really like eating mixed bread chicken corn,1
often eat pate cake restaurant suitable budget poor person like restaurant service ok usually buy crowded wait addition think restaurant bigger,0
delicious hair bread,1
delicious butter cake,1
bought sandwich lunch bread butter sauce mixed delicious bread rich sauce delicious taste reasonable price downside staff doesnt wear uniform look bit,1
bread good store opposite trade union university yesterday bought milk tea nearly spoiled drank sour ulcerated never buy,1
delicious cake depending day staff good attitude avocado sauce delicious try type dont like sweet avoid bread avocado sauce,1
ive eating food restaurant since first opened recently ate food still good however one time eating friend gave wrong product ordered corn chicken gave mixed bag,1
delicious bread delicious sauce,1
restaurant takeout food restaurant quite clean including cake tofu shop shop quite eyecatching easy find,1
cake dry delicious unpleasant unenthusiastic staff bought ate chewing piece heard loud blister fruit almost big pebble,1
bread milk tea reasonably priced taste quite good suitable student,1
golden bee wife bread delicious really like mixture cheap delicious suitable student budget,1
jgon bread reasonable price pho pho delicious,1
bought shopee took minute shipper deliver bread cold cold inside summer weather,0
staff tay son bad attitude extremely bad went order didnt even answer customer order dont listen keep talking phone using speaker shout phone ignoring,0
female employee morning shift tay son store bad attitude good service pay attention customer customer responded without apology stood looking turned away,1
delicious bread delicious sauce,1
bread delicious staff make stressed,1
shop strange food delicious cost k give return didnt check got home fault hope shop pay attention,1
bthg ate lot pate nvien afraid running code half cake little bit sauce much filling take cover remaining half cake,1
hello staff attitude bought lunch today bought piece paying staff told accept bread paid ok finished called one time employee showed annoyed,0
delicious cake reasonable price student,1
bread sauce true love whole cake midrange price,1
cake delicious waiter bored attitude chasing away customer,1
delicious food quick staff,1
bread butter sauce dont like sweet food find taste strange,1
bad experience tay son two female staff member rude customer didnt bother answer,0
rehire nvien bad attitude keep swelling,0
general quite good quality cake bit buttery taste,1
bread quite delicious price reasonable,1
bread delicious fragrant butter crispy,1
delicious bakery,1
super delicious cake,1
delicious buy take away,1
great,1
cake delicious guaranteed,1
staff rude act like feeding pig,0
bmi butter sauce delicious,1
reasonable,1
staff attitude good,1
great,1
fine,1
