Review,Label
recently ate bo quan moc generally pleased food pretty good price many dish tasty impressed handled small issue one steamed bun stale,1
good food good service back,1
old style decorated restaurant serving mainly beef,0
nice restaurant,1
staff moving fast serving slow often forget ask additional ingredient six waitress couldnt cover ten table show manager weakness manage serving activity decoration little bit much good thing food,1
price bit expensive serf veal good beef bit foul felt chewingthe pork also good serving speed slow may wait minute raw dish like rice noodle raw,1
good,1
good place meeting enjoy food,1
fun bustling place verging noisy nice food wine good value,1
good,1
food delicious,1
food western standard bbq really season good,1
good food good price interesting decor suitable family colleague outing,1
good place good food,1
good,1
good,1
atmosphere noisy food abg drink expensive,0
good,1
good,1
good,1
quan decor good nice food cheap,1
delicious food nice place reasonable price,1
like beef good cuisine good price,1
good,1
good,1
nice company friend dinner discount first order,1
good variety beef dish good price,1
delicious reasonable price good beer party,1
great food good decor,1
good food acceptable price,1
noisy small place,0
nice view good service,1
nice,1
good,1
good,1
good,1
food good,1
place great,1
good service,1
company yearend party private room food includes expensive crab hotpot cut real piece rice full sweet fragrant food set filled many vegetable side dish include beef rolled,1
beef restaurant delicious tender staff restaurant enthusiastic serve quickly always ready assist customer need restaurant space clean airy beautifully decorated creating,1
restaurant beautifully decorated lot light staff enthusiastic friendly delicious food diverse menu next time chance come back support restaurant,1
delicious food enthusiastic service try least,1
delicious food enthusiastic staff guy nd floor cute,1
come eat comfortably aqn food quite delicious friendly staff attentive service like guava juice steamed roll support shop long time,1
delicious food friendly staff,1
bad ordering food take long time hour get dish ordering take minute get dish extremely long turning back ordinary food,0
food delicious staff enthusiastic,1
delicious food friendly enthusiastic staff,1
delicious food enthusiastic service staff,1
delicious food friendly staff beautiful space,1
polite staff food okay poured food cold lacking sophistication enjoy fresh hot food,1
food delicious hot easy eat enthusiastic staff good service,1
delicious food enthusiastic service quan moc heifer truly longstanding brand made meticulously carefully price also reasonable worth booking party,1
delicious restaurant manager bui tien dat interested enthusiastic serving customer excellent,1
good food friendly staff nostalgic space,1
delicious food great service,1
delicious food suitable taste enthusiastic quality service come back many time,1
delicious food friendly staff,1
delicious food enthusiastic staff,1
food ok staff friendly,1
delicious food ok service soft tofu good hoa lu place delicious rice bit greasy child definitely love,1
delicious food enthusiastic service,1
delicious suitable food get dressed quickly,1
restaurant simple rustic decoration style private room large group food quite good delicious enough eat price bit high,1
delicious nutritious cheap quiet space suitable sitting drinking talking world,1
delicious food enthusiastic staff today ate christmas restaurant attentive prepared balloon next time come back,1
restaurant clean food delicious dish served quickly price reasonable nvien serf enthusiastically worth experiencing,1
bad experience dining thai thinh young beef restaurant customer booked advance manager informed customer must get invoice get discount booking table advised,0
delicious food attentive service,1
restaurant delicious service professional waiter lo van tan lovely come back restaurant many time future,1
delicious food enthusiastic service,1
house number bit difficult find numbering bit confusing,0
food delicious staff also enthusiastic come back next time,1
delicious food friendly enthusiastic service,1
large airy restaurant dedicated staff delicious food come back restaurant,1
delicious great try,1
delicious food enthusiastic service,1
delicious food reasonable price,1
delicious food enthusiastic service come back next time,1
food delicious service staff enthusiastic attentive,1
delicious food enthusiastic staff impressed pork rice paper roll recently restaurant improved service food quality much better worth try,1
food quite delicious staff enthusiastic,1
food delicious satisfying atmosphere suitable large group,1
delicious enthusiastic staff take care customer attentively come back hihi,1
good food service staff enthusiastic friendly cute,1
delicious food enthusiastic support staff,1
food delicious sauce nice clean service quite fast good,1
today family vcs kid age came restaurant ordered set roll pepper beef dumpling sticky rice potato personal impression set roll served carrot pineapple,0
delicious food enthusiastic staff really like,1
good food enthusiastic staff,1
delicious food friendly staff,1
food delicious staff enthusiastic come back restaurant,1
delicious food served quickly enthusiastic serving staff,1
food really delicious restaurant spacious space suitable small group group staff quick cute great,1
delicious food enthusiastic staff worth experience,1
restaurant beautifully decorated staff enthusiastic friendly delicious food diverse menu next time chance come back support restaurant,1
thao van staff enthusiastic thoughtful delicious food please come eat,1
delicious food fast service enthusiastic staff,1
restaurant clean meat fresh price reasonable everyone come try time enthusiastic staff give extra tip k,1
tasty ok enthusiastic staff,1
delicious food friendly enthusiastic service,1
delicious food beautiful presentation good service,1
restaurant mainly serf dish using beef think food delicious price expensive best thing able drink draft beer sapporo beer,1
good food tet service bit slow understandable,1
delicious food enthusiastic service come back next time,1
everything ok space also warm intimate enthusiastic staff nice uniform neat professional,1
good food open space enthusiastic staff food come quickly,1
quality food delicious particular beef rolled rice paper impressively presented,1
quite ok good service staff,1
manager huy cheerful friendly attentive customer waiter professional served food quickly restaurant floor always full customer space bit small still ok,1
restaurant great attentive service super delicious attractive food especially toan delicate warm customer,1
delicious food beautiful space friendly staff prestigious address culinary enthusiast,1
restaurant spacious suitable party family friend colleague convenient parking service staff good enthusiastic price reasonable go large group even reasonable,1
good food good service staff,1
quiet space delicious food,1
delicious food enthusiastic staff especially handsome man remember give raise,1
come eat comfortably aqn food quite delicious friendly staff attentive service like guava juice steamed roll support shop long time,1
delicious food enthusiastic staff beautifully decorated dining room,1
restaurant clean staff friendly welcoming food quite delicious come back support,1
food suitable price kperson beef tender people order food reserve table advance avoid wait long,1
delicious food diverse menu staff enthusiastic come back eat next time,1
service slow lack vermicelli many type vegetable photo reality taste food bland hotpot,1
large space cozy style restaurant enthusiastic staff delicious food delivery time relatively quick,1
restaurant beautifully decorated cozy good food,1
delicious food tender beef beef hotpot giang leaf special nviens service fast friendly,1
ordered food delivered house family eat christmas grilled chicken dish picky piece fell apart soft put piece dough mouth,1
although dish filling delicious book advance get table also get discount km program,1
delicious food good service enthusiastic staff enthusiastic staff price okay restaurant space airy clean overall still come back restaurant fan young cow visit restaurant,1
company held christmas found service attentive delicious food reasonable price large space hold company party,1
soon set foot shop thought hoi style quite strange shop place indoor stream right entrance design shop another plus point cozy nostalgic space floor,1
ordinary food example naked beef dish good delicious pho restaurant price bit high fast staff shop decorated subsidized style including water flower fruit,1
delicious food friendly staff,1
restaurant really leaf impression comfortable space delicious drink professional service style must add one special thing make unable help come back presence,1
evening restaurant always crowded didnt book table today wait bit table cleared food ok roll ok havent tried dish cant review restaurant,0
specializing many delicious dish restaurant space moderate eyecatching decoration fast enthusiastic service reasonable price invoice vat membership card birthday within day less receive discount,1
restaurant clean luxurious delicious food suitable taste affordable price enthusiastic attentive service staff,1
delicious food enthusiastic service staff,1
delicious food come quickly suddenly enthusiastic open space,1
delicious food friendly staff,1
delicious food friendly enthusiastic staff,1
food reasonably priced staff dedicated attentive support next time,1
delicious food clean space enthusiastic hospitable staff,1
delicious food attentive staff,1
restaurant delicious food dedicated staff,1
delicious food spacious restaurant space beautiful view friendly cute staff take good care customer ncl rcm come try,1
good food good service,1
delicious food enthusiastic service staff,1
great delicious food reasonable price friendly enthusiastic professional service book advance get discount,1
beautiful restaurant delicious food worth experiencing,1
staff extremely slow lack vitality ordinary food never come back,0
time organized party friend food advertised fresh delicious bit expensive attentive staff second time organizing birthday party still delicious rd time took eat still happy,1
delicious food friendly staff,1
delicious restaurant enthusiastic staff although food preparation bit slow,1
great bui tien dat enthusiastic thoughtful,1
service great food reasonable price spacious space suitable team people,1
delicious food enthusiastic service,1
delicious food good service funny staff,1
second experience restaurant good good food good service staff beautiful space sparkling birthday decoration next time go eat,1
delicious food close home enthusiastic staff funny security guard warm room decoration space,1
ate friend found food delicious staff friendly,1
great restaurant rd time eating still ok diverse menu dish suit every taste enthusiastic staff,1
good staff enthusiastic service delicious food,1
comfortable airy space enthusiastic cheerful service polite staff,1
ordinary food expensive price invisible wait staff minute get dish broken bowl,0
delicious food diverse menu dish suitable age enthusiastic attentive staff,1
handsome beautiful staff cool fresh air quick enthusiastic service,1
delicious food good service beautiful space worth experiencing,1
enthusiastic staff delicious food diverse menu next time come back,1
vote delicious dried mac cocoon baonnnn,1
enthusiastic staff good space delicious food come quickly menu many dish great heifer,1
delicious food enthusiastic staff diverse menu fully lit birthday party,1
delicious food suit every taste enthusiastic staff,1
food super delicious super high quality reasonable price enthusiastic quick service staff point come back many time highly recommend,1
delicious food nostalgic space,1
food good service staff attitude good decor cong cafe stylebut also bit stuffy noisy,1
restaurant food super delicious waiter friendly enthusiastic restaurant clean,1
delicious restaurant enthusiastic service,1
enthusiastic service delicious food come back next time,1
beautifully decorated enthusiastic staff,1
