Review,Label
one best restaurant try look food vietnam tried bun cha completely new experience also quality much single person staff friendly polite taste satisfying price reasonable definitely recommend everyone,1
restaurant recommended hotel staff local eat absolutely loved food bun cha meal come usual mince patty pork belly fish sauce based stock opted belly,1
dont get confused michelinrecommended shop opposite hotel assured u overrated instead opted bun cha hang manh everything absolutely delish,1
wouldnt recommend place food average wanted small portion end served k,1
va ko ung vi chi nhieu chu ko ngon right place eat bun cha portion big flavor poorly inaccurate,0
star impossible less bun cha hang manh absolutely amazing bun cha hand one,1
confused recommended restaurant next door aggressive staff questionable cleanliness pork hair food asked staff waitress plucked hair food bare finger bun cha wasnt tasty either roll,1
owner rude food mediocre best dirty table cleaned halfassed left smelly clean table afterwards wet wipe asked menu said buncha,1
staff aggressive wanted order one kept insisting get three three people communication difficult even google translate also noticed staff member handling money,0
carnivore chose restaurant cause bun cha seemed meat heavy sat bowl pork patty plate spring roll noodle brought right away place known bun cha,0
popped part food tour great bun cha broth lot flavour noodle herb lime garlic chilli side could make taste,1
dear readersplease advised bun cha hang manh michelinrated butits best bun cha eatery competing daily nightly short walk hotel ion old quarter brought,1
delicious ordered bun cha vnd love even though bit expensive another bun cha worth try,1
first street food experience great lot meat bon cha bon cha big spring roll,1
great bun cha local recommended food excellent especially porkgrilled dumpling however aware come bring extensive menu without asking make sure wish spring roll meal say sit,1
absolutely incredible vietnamese soup herb noodle broth pork crab roll topping complement perfectly mustvisit old quarter,1
overall food nice first time eating bun cha taste ok,1
next michelin got scammed reading review seems routine spread table,0
stumbled upon place oh boy unbelievable think best meal vietnam tasty delicious deep banging flavour got great streetside atmosphere staff fab randomly,1
really great bun cha green papaya noodle garlic herb fill soup visited part food tour also full local popular food delicious best bun cha hanoi,1
considering unable communicate vendor thrilled food street food fancy service decor food served fast hot hearty delicious wonderful albeit smoky experience sitting,1
place delicious bun cha cost thats expensive im sure people complaining price quality food really good,1
im buncha lover food taste restaurant average comparing others taste even better price steep ive ordered buncha spring roll beer k total bill believed two different price available local tourist,1
bun cha spring roll delicious ordered twice spring roll portion large price reasonable,1
beware place scam tourist theyve charged u k vnd portion bun cha included spring roll yelled said everybody paid vnd k per portion,0
confused bun cha dac kim michelin star rated beside overall taste good buncha however owner unhygienic rude decides order,1
good food good portion lot papaya chunk nuoc mam dont forget squeeze least half lime enhance freshness sure price paid portion bun cha nem,1
staff purposely mistaken u michelin place food average better bun cha cleanliness level awful,1
awful expensive price wasnt disclosed charged k one bowl people might mistaken one michelin starred next careful dont let staff lure check make sure try bun cha dac kim one one,0
come several time dont want mention food famous well known behavior staff good quite hot afternoon try arrange much people,1
total scam intimidation tactic staff wanted eat dac kim rudely shouted pressured yard away enter shop got even scolded politely decline stay away,1
k two people meal coke good meal try hanoi staff friendly speak english well eat much take feel much cant finish,1
guy order small portion k possible delicious traditional bun cha,1
vnd alot bun cha come crab spring roll especially definitely cheaper delicious version hanoi,1
really liked bun cha sit greeted bowl soup filled pork fried spring roll tasty get huge bowl noodle salad decent price dong,1
good food price ok take bun cha enough took beer k much food edit yeah found another bun cha place next day k know got ripped,1
mediocre bun cha terrible hygiene take look place cleaning make sure ask price meal take picture adjusted price end meal showed new menu new price scam,1
first meal hanoi pork caramelised flavorful portion big recommend order portion share slightly pricy overall excellent,1
food really tasty large portion staff friendly problem price menu make think relatively expensive tourist,1
went another well known place bun cha alley place food way better came twice service delight werent pressured leave place,1
avoid place place charge k per bun cha way overpriced compared elsewhere dont give menu found price pay,0
full mix local tourist favourite bun cha hanoi still good particular spring roll flavourful adult kid absolutely stuffed,1
ill picky know bun cha good bun cha know place authentic one next k wanted check anyway see good obviously huge mistake,1
scam bad service tourist need pay expensive compare local customer k vnd bun cha k vnd spring roll,0
bun cha bbq pork chop taste good must go hanoi,1
wanted visit michelin restaurant adjacent stall misled friendlylooking amicable enthusiastic lady dinein location food environment unhygienic,1
fake bun cha rip tourist eat,0
awesome food rissole pork soup broth rice noodle fish spring roll vnd,1
service bad dont sell drink tried order lime juice coconut water ignore,0
best vietnamese food ive ever tasted came back multiple time staying hanoi local vibe awesome food,1
delicious bun cha tasty meet broth good taste also liked fresh herb,1
best bun cha tried one portion serve two people minced meat delicious,1
delicious bun cha one meal perfect size two people price high said review,1
girlfriend arrived silk queen hotel around pm march nd little hungry wanted something light authentic local dinner female receptionist suggested try place said,1
food good prepared eat quickly leave also careful wet slippery floor stair,1
always check menu first order bun cha automatically give set contains spring roll okay lot wasted food food good aware,1
viet nam manage expectation go street restaurant place hygienic clean enough eat service non existent except getting food table atmosphere street,1
bun cha restaurant searching exact one road however thinking entering local tour guide told u food excellent searching perfect bun cha ordered would,1
pitiful dishonest bully avoid place scam outright smirk face bun cha also extremely average server miserable,0
hygiene good food lot vegetable best place kind food,1
great food service standard saw server pressured couple patron ordering set bun cha wanted try one come back bun cha better,1
great slightly sick afterwards much expensive bun cha place,1
fake restaurant copycat known bun cha restaurant hanoi accross street legendary bun cha hang manh street bun cha dac kim also misusing michelin star dont confuse people,0
without doubt best bun cha town nems spring roll also amazing,1
full eat crab roll bun cha nice meat well grilled dont wing,1
best plate food ive northern vietnam unreal flavor meat broth love bun cha,1
favourite date hanoi please give buncha obama miss buncha hang manh really good even better michelinrated buncha dac kim joint across street staff friendlier price,1
put u without asking nem ran table bun cha worst eaten far sweet patty pork fat nothing whole bunch meat taste sweet sauce price also way high,1
horrible rip dont go beware claim part famous neighbour restaurant force,0
went recommendation local simply ask see menu got laughed wouldnt give menu left right away kinda idea service would reading star review agree shame place lot potential,1
firstly absolutely tourist trap maybe expensive bun cha country however serving size large absolutely delicious try come every visit always expect pay nose k people beer,1
beware dac kim terrible mistake paid closer attention restaurant,0
female owner foul temper terrible attitude wanted share bowl bun cha people finished,0
food taste pretty good serving size huge expensive buncha brought u crab spring roll made u pay even though asked buncha dinner like,1
clean good hygiene staff said menu range k portion u find later start k biggy deal,1
dont go tourist order one give two brabble something vietnamese tell wanted one let one bun cha side didnt eat later want charge way,0
mostly made tourist honestly bit overpriced local service pretty bad well much guest restaurant still lady work ask change another seat order make,0
overpriced menu shown recycle nem spring roll vegetable noodle table finished maybe even recycle soup meat got conned going share almost address bun cha place next door dac kim would suggest going instead,0
delicious bun cha see lot review knocking place price k vnd two people doesnt seem like much given much give,1
great bun cha place delicious cheap plus sugar cane drink dessert right across street main restaurant forget bun cha place hyped bordainobama crowded overpriced area come wont regret,1
authentic first bun cha delicious,1
food good definitely one best place ha noi enjoy street food bun cha authentic way street busy restaurant powerful fan combat heat portion large prepared arrive empty stomach,1
food good quite bitter experience bill come k two bun cha one drink,1
service great dish delicious,1
beware charged table next per dish since foreigner vietnamese avoided scam disappointing hope people learn bussiness honestly,0
rip tourist even ask price ordering increase price pay charge small bottled water theyre unfriendly bun cha isnt good compared bun cha area,1
good one food average way expensive quality also quite sure hygene place since observe make nearby street tho bun cha nem ran k,1
located next bun cha dac kim food staff rude price depend tourist often set price higher tourist aware price never comeback,0
broth good pork juicy,1
