Review,Label
good clean food served quick grilled fish good soup bit strong bamboo shoot liking nevertheless good overall,1
great vietnamese restaurant specialising fish dish herb grilled fish shrimp paste fish sauce delicious good went back ate ordered combo grilled fish gut bit funny,1
nice restaurant specialising cha ca dish ordered sauteed cha ca herb sturgeon hot pot enjoyed dish overall good experience good service staff worth coming try vietnamese dish,1
good place eat lot table staff quite active wellbehaved well trained bit expensive side student problem normal worker,1
popular dish hanoi order grilled fish meat belly per photo signature,1
restaurant specialized fresh grilled fish fresh veggie cooked front choose way like fish cooked veggie nice experience fish lover also,1
cup cracked food delicious enjoyable meal,1
good food service view also good,1
traditional cha ca spacious clean restaurant delicious,1
best buy food usually eat different branch restaurant im constantly impressed quality food service staff general experience something hard find,0
really nice food quite comfortablethe typical ratio shouter screamer kidsbring earplug enjoy cabaretor circus,1
excellent food ive tried type fish prefer cheaper one,1
delicious food cozy place recommend bring family,1
good deal come group monday family fav spot,1
good good,1
good food family traditional dish fish hanoi,1
good food nice staff space worth back often,1
good traditional cha ca nice combo beautiful location,1
good food always crowded waiting long,1
reasonable price crowded weekend affect service,1
delicious feel little expensive compare price,1
good place eat vietnam style fish cook,1
food good service satisfied,1
limited menu taste really good,1
nice combo person,1
good pp,1
good tradional restaurant,1
good delicious,1
good,1
bad,0
good food nice staff,1
mediocre best,0
good,1
good taste fish,1
great food,1
taste good,1
good taste service,1
nice food service,1
good,1
good food,1
delicious food court,1
good,1
good,1
good,1
good,1
good,1
good,1
good,1
good,1
good,1
nice,1
good,1
good,1
good choice,1
service slow,0
good taste,1
king cha ca one famous restaurant hanoi specializing serving la vong fish cake famous specialty capital spacious clean traditional space restaurant attracts many local diner well foreign,1
food delicious clean people eat combo full unless cant finish upstairs pot suitable people,1
food delicious staff enthusiastic presqueezed lemon juice also convenient restaurant best seller lemongrass juice also delicious lunch talked still ok thank,1
food okay fish well marinated downside fish crispy soft cant eat shrimp paste ask fish sauce given bowl fish sauce base ask filtered water mix,1
booked table front table front crowded going business trip day friend introduced dinner big plump fish crowded staff bit confused quick setup price also quite reasonable people bill nearly,1
shop wide sidewalk convenient parking soon stop security guard come guide park staff mainly young student obedient agile,1
food come slowly compared giang vo fish cake king teaching martial art minute minute,0
fish meat fatty fish intestine chewy crispy served green onion vermicelli shrimp paste delicious ordered combo people received small pot porridge combo enough,1
perhaps first place ive eaten perch rice cake without getting bored cooking celery spinach leaf water almost oil fresh vegetable bring cool feeling balance spiciness,1
delicious delicious dish cant eat shrimp paste still try eat cozy clean space,1
must say fish cake delicious never eaten delicious fish cake nice place good view must say food delicious,1
fish soft fresh sweet meat always clean first entering even smell lemongrass essential oil attentive service staff,1
food relatively okay however bad considered good choice food preparation quite quick service generally dedicated agile,1
eaten many time grilled fish delicious delicious enthusiastic staff park car front shop free,1
first time eating king cha ca food good time pay employee dropped hood hot pot table th floor causing boiling water splash family went two child almost,1
food served quickly ive eaten time last time disappointed attitude female staff th floor know end year also want go home celebrate tet serve customer,1
come enjoy want come back time dish delicious also rich flavor bearing,1
sunday lunch family sister store car parking restaurant crowded need book table advance bite sized fish cake delicious fresh salad highclass highend food,1
eat deliciously comfortably combo price people also ok staff quick serf food upon request would nice brighter attitude would probably tiring,1
