Review,Label
goose meat richly marinated taste crispy soft chewy fragrant aroma garlic make customer fall love especially restaurant also special roasted garlic goose dipping sauce,1
fantastic place eat thank welcoming cooking best duck hanoi,1
noodle nice flavour fragrance soup however chicken beef tender hard,1
first time try meal hmm delicious winter coming eatten reasonable price good pay dollar,1
food good quite pricey therere indoor outdoor space pay parking,1
think roasted garlic duck delicious among place ive eaten friend came u visit also agree opinion highly recommended,1
roasted goose garlic super delicious brings new taste experience prefer goose vermicelli,1
delicious,1
food nice host extremely friendly,1
nice place good food,1
thuy luong garlic fried duck hang luoc place worth trying walking around hanoi old quarter garlic fried duck really impressive soft sweet dry duck meat outer skin fried moderate,1
first time went hanoi experience trying roasted garlic vermicelli bamboo shoot bowl fish sauce dipping drinking glass beer amazing,1
k place people eat freely tasty tough due thick meat tangerine juice delicious,1
roasted garlic goose restaurant delicious garlic make fragrant sweet bamboo shoot soup delicious love boiled goose dip bowl dipping sauce much price listed clearly reasonably staff quick friendly,1
top spire come saigon food delicious suitable taste anyone come must try mother love stirfried vermicelli stop eat going airport,1
ordered combo people delicious roasted garlic roasted goose hot bamboo shoot soup clean vegetable delicious fish sauce word criticize,1
review sg first time eating roasted goose garlic goose marinated first felt bland bit strange second bite taste,0
restaurant specializes ngan cuisine includes bamboo shoot soup stirfried goose intestine roasted goose garlic price reasonable ordered serving vermicelli bamboo shoot roast goose,1
enjoyed eating food delicious food come quickly order water charged separately first paid parking next door,1
shop changed location seat tighter quality much worse goose lightly fried chewy bit smelly,1
burnt garlic goose bit dry delicious bamboo shoot soup rich parking price quoted advance tell park someone arrange car ill come back later collect money,1
one portion one person eat full meal rose hip bamboo shoot vermicelli roasted goose garlic price cheap quite commensurate quality delicious tangerine juice,1
delicious food cheap price male service staff sometimes bit pushy customer,1
super crowded delicious price reasonable,1
garlic roasted goose delicious suitable taste saigon people like taste moderate price also relatively reasonable drink beer perfect,1
tasty try,1
good food crowded service fast parking cost fee,1
fried duck meat garlic bamboo shoot soup main dish seems loved local think many people like depending personal taste,1
best grilled garlic goose restaurant hanoi service fast seating bit cramped comfortable table would better ive eaten many time recently dipping sauce gotten,1
people ate piece burnt garlic bamboo shoot soup mixed piece hostess expressed disdainful attitude told eat enjoy saying already eaten coming,0
one delicious ngan meatnoodle shop hanoi dish boiled goose roasted goose garlic goose vermicelli goose cooked bamboo shoot,1
restaurant space indoor outdoor seating also called spacious place eat go small alley staff come arrange seat place order get dressed quickly,1
delicious food delicious kumquat juice tray people enough including steamed goose roasted garlic goose bamboo shoot soup vermicelli vermicelli mixed k,1
roasted goose delicious garlic,1
shop space indoor outdoor seating also called spacious staff come arrange seat place order get dressed quickly,1
recommended eat restaurant food normal,1
good food price bit high seating bit cramped fast service,1
seating bit cramped tangerine juice many broken seed making bit uncomfortable drink bamboo shoot soup gooseberry seem normal affordable price,1
edible point missed eat know dont want go back space cramped hot eating drinking miserable tray chair table sitting bit tiring,1
roasted garlic fragrant dry rich crispy garlic especially mixed vermicelli super fragrant delicious highly recommend ordering,1
roasted garlic goose quite delicious find taste bit bland adding dipping sauce would better boiled goose delicious bamboo shoot soup served always delicious use tangerine juice,1
roasted goose garlic delicious noodle bamboo shoot soup okay smelly sour,1
ngan burning garlic many year thuy luong still true love truly birthplace roasted goose garlic,1
cheap delicious agile staff,1
bamboo shoot soup edible main dish garlicburned ngan wrong goose boiled much fried meat becomes crumbly eats like french fry additionally price quite high,0
roasted goose delicious garlic fast service owner enthusiastic,1
another culinary destination tourist visiting capital must try goose meat fragrant crispy fatty broth used bamboo shoot vermicelli clear evenly flavored,1
delicious mixed vermicelli super awesome go dinner,1
restaurant crowded food delicious special dish roasted goose order combo half roasted goose garlic bamboo shoot soup suitable people shop delicious blunt,1
need introduce shop famous always crowded customer garlic roasted goose right taste doesnt feel greasy like many restaurant go people,0
restaurant small quite cramped go group sg people visit local guide order food consulting shop friendly force order combo according number people,1
garlic roasted goose delicious delicious eat boiled goose normal order half roasted garlic half boiled bowl bamboo shoot soup plate vermicelli total loss branch order separate water kumquat juice k,1
goose normal doesnt smell bad garlic delicious bamboo shoot soup normal fish sauce salty hate go get car lose k ticket money tell,1
restaurant look quite clean service quick dish simple ordered grilled garlic goose delicious goose crumbly fried garlic fragrant crispy bitter,1
food delicious restaurant old town space limited sit inside look bit cramped air conditioner doesnt get hot sitting outside would probably better see many,1
ngan delicious garlic dish fragrant must try,1
roasted goose garlic super delicious goose meat tender eaten fried garlic golden super fragrant people order roasted goose garlic people bamboo shoot soup,1
order little restaurant curse belittles customer kind way time order time leave bad ruining image hanoi people strongly advise come restaurant,0
ordered dish combo total k delicious rich garlic roasted goose dish stirfried vermicelli intestine delicious,1
owner enthusiastic even though store crowded still arranged reasonable position customer place sit best bamboo shoot soup best tangerine tea,1
delicious great quality garlic burn beautiful golden color marinated goose soaked spice right mouth rich blend sweet salty taste say hometown suck listen put piece goose mouth enjoy,1
restaurant visited tourist staff attitude extremely bad parking kvehicle staff give menu guest guest come group staff,0
talk roasted goose garlic considered first restaurant give birth dish located vibrant hang comoc street goose dish rich flavor sweet bamboo shoot dish really like restaurant,1
one word bad service attitude bad went people ordered combo menu grilled goose garlic boiled goose bamboo,1
food okay atmosphere cramped poor service want sell advise customer,0
service attitude bad specialty cursed vermicelli come play south avoid,0
delicious roasted goose garlic love eating garlic bit oily youre diet youll find bit boring feel fine delicious bamboo shoot soup shop bit cramped suitable eating suitable sitting around drinking,1
ngan delicious,1
charred garlic delicious,1
ate ngan roasted garlic actually first wasnt impressed okay invited friend surprise delicious meat sweet mixed fragrant garlic scent,1
cheap delicious crowded fast service big bowl bamboo shoot soup lot bamboo shoot fragrant blood meat fragrant garlic cut small piece easy eat many dish sell quickly probably theyre delicious,1
delicious food fragrant garlic goose sweet bamboo shoot soup combo k tangerine juice k,1
tasty eating hanoi suitable weather,1
goose lot meat almost fat prefer boiling rather frying sweet soft feeling vermicelli mixed lot fat good,1
delicious restaurant crowded come early,1
food ok delicious roasted goose garlic acceptable price shop bit cramped due crowd wait took,1
fast service although restaurant bit cramped old town acceptable food delicious worth enjoying,1
garlic roasted goose delicious plate people plus bowl vermicelli mixed intestine suit girl appetite,1
happy satisfied food cheerfulness restaurant,1
delicious reasonable price k half meal including beer small cramped space still clean,1
fast service delicious food worthy best hanoi,1
quality temporary level although said birthplace roasted goose garlic taste still inferior many restaurant opened later,0
rich flavor reasonable price great experience vacation family,1
service attitude bad food salty expensive worth price come back,0
garlic roasted goose delicious rumored feel like eating deep fried goose,1
restaurant clean staff enthusiastic delicious,1
restaurant bit crowded go group friend sure backup plan restaurant ok,0
delicious lunch,1
restaurant prepares food quickly premade dry service unpleasant,1
roasted goose delicious garlic,1
tasty price expensive average price,1
delicious crime crowded v,1
parking fresh delicious food,1
delicious eat,1
duck hard get ripped store watch,0
tasty,1
eat restaurant cramped,0
tasty,1
fried oil many time goose still smell bad,0
bad service attitude,0
delicious fragrant,1
expensive quite expensive,0
delicious,1
tasty enthusiastic consultant,1
ngan delicious,1
tasty,1
tasty,1
