Review,Label
worst coffee ive ever tried asked barista cappuccino saw big coffee machine,0
amazing coffee cool atmosphere staff slow waited coffee minute busy time,1
nice drink good service comeback later,1
offer good drink crowded place much noise people talking come morning avoid full seat,1
nice,1
good,1
good,1
nice,1
good,1
good,1
wonderfullll,1
today pretty bad experience phe la ordered cup matcha oolong pearl topping habit draining water eating tapioca pearl draining water pushed ice get,0
space quite large many table chair sitting air cool coffee scent quite pleasant,1
went try place saw many bad review security guard found opposite security guard friendly extremely enthusiastic customer there nothing wrong,1
drink quality good many new flavor time although seating large decor arrangement table chair reasonable creating interesting space nd floor st floor bit,1
normal drink add little much ice shop space spacious clean beautiful cup,1
worst experience ever drink take long time staff lack enthusiasm water also bland nothing special dont ask water card giving water dont leave customer waiting kind business close early,0
drink delicious staff lovely super enthusiastic really like studying morning chill come back,1
phe la famous milk tea shop ha dong hanoi modern pleasant space place attracts many young people milk tea lover phe la menu diverse many different type milk tea traditional flavor,1
drink okay bit expensive k cup water must profitable shop storey space also many seat mainly indoors rarely outside,0
shop located corner lot frontage day went sitting outside felt uncomfortable,1
shop space many tree feel airy comfortable give point delicious drink strong tea point criticized enthusiastic dynamic staff,1
drink delicious staff enthusiastic attentive store spacious airy,1
phe la nvl beautiful night delicious drink strong tea flavor taste,1
actually drink coffee many establishment nguyen van loc establishment give truly best experience enthusiastic staff delicious drink try,1
shop many green tree many chill corner quiet separate corner restaurant often crowded staff clean table chair drink unique flavor,1
ordered truffle coffee quite ok space chill felt comfortable studying working,1
saw staff uniform apron hat mask month long cleaned every month kept taking turn using always smelled bad unhygienic probably many people noticed found remuneration regime,1
advice dont come weekend sat waited nearly minute without food many customer came later ordered dish served first space,0
sitting phe la nguyen van loc chilled worked productively day end afternoon left could see super sunset phong lan drink still genuine service quality attentive space,1
restaurant spacious service faster establishment rd floor beautiful nd floor,1
waited minute still didnt get glass water asked staff said ice blending took bit long waited another minute good arrived counter could packed,1
restaurant beautiful location ha dong district convenient travel park car im afraid sit street usually crowded dont like,1
east must say crowded tried tea average packaging beautiful,1
store belongs coffee chain cafe la shop quite spacious airy location still repaired renovated drink delicious rich flavor many dish restaurant,1
phe la apartment nice location right intersection spacious parking outdoor airconditioned indoor seating area,1
