Review,Label
world try turmeric sticky rice mung bean really enjoyed eating caramel pork lap cheong egg menu awesome also generous amount crispy eshallots,1
street food expect much term setting delicious fresh authentic good value great spot try real local flavor without spending much,1
really super delicious specialty sticking rice different kind topping really like moon bean paste coconut also sweet highly recommended like nice home food would like read,1
sticky rice sticky delicious family adult child ordered sticky rice pate egg sausage white sticky rice daughter delicious soy milk,1
streetside food literally think hanoi place thit kho tau asking hotel staff recommended place,1
one favourite place hanoi came late night drink pork belly pate egg left topping good went corn rice would like try turmeric rice next time highly recommended excellent value money,1
ate yr ago good back chop staff nice taste local variety food choose easy eat recommended,1
great spot experience breakfast like local surrounded local food decent someone isnt big breakfast person portion bit much taste okay though worth visit want try something authentic,1
inexpensive absolutely delicious recommend cinnamon pork corn rice wish closer apartment id come every day,1
food good first time earing xoi xeo liked topping pate must try,1
ah last day vietnam probably best breakfast far haha order corn rice amazing pate omelette pan fried chicken,1
great place eat xoi youre vegetarian reccomend corn sticky rice xoi ngo fried braised egg trung kho every xoi order come marinated cucumber side,1
food amazing chanced upon shop randomly walked cafe giang saw many local trying food intrigued look like rice bowl,1
ate four time love sticky turmeric rice every dish tried bbq pork pork belly chicken mushroom sausage egg omelet especially complementry pickled cucumber comfort food,1
went twice lot option really delicious heart food cold tea also great refreshing,1
want try one vietnamese dish sticky rice variety topping choice come highly recommend quality food also quantity shop serf choice sticky rice amazing,1
first time ever try type dish store sale sticky rice differernt type pork minced pork pork sausage pork ham etc menu good take together soft sticky rice pork,1
twice stay hanoi food tasty cheap even though traffic client move fast sure called hairy thing ive tried good taste flavor,1
really enjoy food sticky rice topped mung bean paste combination never seen country work really well dish like pork floss fried egg paired well sticky rice,0
busy xoi place provided another excellent meal xoi creamy savory choice topping incredible rice meat topping tea k,1
heard many people recommend xoi yen got hanoi order shopee food try sticky rice tasty though bit mushy plenty topping generous portion chicken tender,1
love sticky rice place many option super delicious usually order corn sticky rice mixed topping come type meat overall fast service taste floor motorbike parking available,1
awesome spot excellent sticky rice dish got two bowl tumeric sticky rice ordered chicken pate braised pork topping everything extremely delicious shaved mung bean cake top made,1
amazing sticky rice dish good price quick service english translation touristy highly recommend visit,1
favourite local spot old quarter pick type rice add meat side mix corn rice pork belly favourite wish thing try worth price,0
one favorite place hanoi consider comfort food sticky rice lentil flake topped crispy garlic onion pork belly cooked perfection mouth watering service fast efficient,1
vietnamese sticky rice pork beef chicken novelty u must,0
amazing breakfast flavour texture perfectly balanced would go back day,1
found restaurant randomly near hotel amazing sticky rice highly recommend white sticky rice newbie mix topping like corn turmeric sticky rice quite strange flavor someone,1
food really good delicious combination traditional sticky rice bbq pork shredded pork frost perfect service average definitely visit food,1
favorite local food far turmeric sticky rice concept interesting tasty theyre generous topping well really loved free pickled cucumber side,1
small portion low price good food traditional sticky rice vnd caramel pork belly vnd iced tea vnd take bill paper pay counter downstairs,1
learnt place internet wanted try something different usual pho banh mi glad liked basically glutinoussticky rice topping first choose type sticky rice,0
love food place nice cheap tasty see picture recommendation,1
food average best mediocre nothing fancy price high justify quality u get feel like tourist trap opinion,0
sticky rice good combined different meat egg meal cheap filling also get cucumber salad free staff speak english ordering easy,1
tasty dish worth try something different compared european standard dish give one star less since staff friendly smiley get past food good good price,1
good food good price much noise street,1
one kind dish hanoimaybe research wasnt enough havent seen something like research base sticky rice mealeither get turmeric plain corn rice k dong,0
amazing streetside food traditional seating menu encourages mix match pick style rice number side dish menu come piled bowl,1
