Review,Label
always want try restaurant based ok hype rather feel disappointed food okay price cheap imo reasonable dont like server inattentiveness,1
great time nolowa naengmyeon sweet spicy fried chicken standout food delicious atmosphere cozy service bit slow staff friendly would recommend,1
great restaurant food mainly fried item little bit kind junk food offer lot different option try tasty,1
food sweet staff even sweeter highly recommend,1
best chicken rose teokbokki town often come friend family nice service highly recommend make reservation coming restaurant,1
fried chicken onion cream sauce time rose tteokbokki surprisingly good staff quick friendly,1
nollowa chicken expensive stylish looking place lousy service long time staff totally unable consult guest vietnamese explain side dish would come come bowl,0
food delicious especially chicken onion cream sauce cold noodle cold noodle used easily get stomachache due cold stomach service bit long restaurant,1
highly recommend korean visitor delicious sauce fresh fried chicken,1
hand best korean fried chicken restaurant hanoi chicken always crispy outside soft inside cheese fried chicken favorite onion fried chicken nollowas signature pungent smell raw onion like onion get,1
good,1
onion chicken good taste cream onion jajang noodle delicious,1
yummy,1
staff bad booked hour accept said keep table min arrived time keep table,0
good,1
good,1
pretty nice weekend night friend family,1
delicious,1
wonderful korean cuisine good service recommmended,1
good food big serving recommend,1
general good quality chicken product drawback might little bit much sauce reserved table came little bit earlier still free table also mentioned would reserve table max min reservation time aware crowded,1
great place fried chicken,1
food really good place truly deserves star could make change would make two would make sweet sauce little bit less sweet rly good ofter piece sweetness bit overwhelming would make,1
nice food good service joyful expericence,1
love restaurant,1
food fine tasty sauce price affordable music loud yell,1
place almost always crowded serving time best lot necessary eating utensil must requested always presented table really good korean fried chicken though worth overall,1
good tasty,1
good,1
good,1
delicious food nice music friendly staff,1
good,1
good service,1
crowded food actually pretty good like chicken lot toek little bit spicy,1
good,1
good,1
gooddddfff,1
poor service waiting minute food announcement apology staff stood watching nd time,0
good place,1
great great great,1
ok recommend place,1
used love food place service getting worse food longer worth hype,1
yummy yummy,1
good,1
unsupported staff poor service never come back,0
good food reasonable portion friendly service,1
good service good taste,1
food ok long time waiting price little cheaper chicken moreover staff slow maybe cause shift leader stupidity,0
chiken fresh good price okay group,1
perfect restaurant gathering,1
nice korean chicken food,1
good delicious,1
delicious comeback try menu,1
little busy food great,1
setup faked grab store cancel way recommended,1
variety fried chicken small dished specially unique korean tuckbooki prepared waiting,1
good,1
good,1
good,1
nice chicken,1
good,1
good,1
good taste,1
nice,1
good food,1
good,1
great child,1
good,1
good,1
good,1
tasty,1
good food nice ambience,1
great,1
good,1
menu okay side dish good,1
good,1
good,1
good,1
yummy,1
good,1
good,1
good,1
food good,1
good,1
delightful taste,1
delicious,1
good,1
great korean chicken cold noodle,1
yummy food,1
good,1
good experience,1
good chicken,1
great,1
extremely slow service,0
delicious,1
nowadays mainly eat chicken order flavor chicken wing honey sauce fried chicken thigh usually order cream sauce dipping wait minute food chicken come hot crispy,1
fried chicken delicious especially onion cream honey chicken grilled chicken bit sweet,1
ive eaten nollawa many time never knew fish cake soup delicious cold sip broth broth clear sweet also many type fish cake pot normally highlight,1
restaurant many review due discount coming back second time reason food taste fried chicken thigh crispy outside,1
delicious authentic food enthusiastic attentive service staff come back,1
delicious food enthusiastic service staff,1
food delicious filling order half half two people cant eat,1
ive eaten many korean restaurant like one mixed rice chicken delicious restaurant space also beautiful floor better sit upstairs,1
good food good service quick delivery next time come back support restaurant,1
group people came eat nollowa cold saturday night quite crowded waited minute table,0
chicken delicious korean food also delicious bit boring eat come back crave ufo chicken pan boring however restaurant mosquito meal large always go large group staff advise combo promotion,1
dont know day like day went super super super noisy restaurant crowded long line waiting table nd floor extremely noisy group restaurant,0
delicious food reasonable price everyone group complimented,1
