Review,Label
wife suggested try place childhood place banh uc taste delicious one best ive ever however service slow bit messy would need remind would missed due enough manpower table well floor cleaned,1
like porridge banh duc nong glorified version interesting texture soft mochi savory broth add homemade chili oil sauce youve got masterpiece complex flavor texture,1
go alley stay right sit somewhere point banh duc mochilike rice dish really anything menu bun delicious unlike bun id kind owner running shop,1
amazing woman doesnt speak english lot local help u one broth one fried noodle delicious cost u worth inside broth fried fish tofu egg ball,1
local spot alley food bad bit salty,0
banh duc nong good essentially rice mochi broth k nothing like anything ive glad tried,1
probably best thing ate vietnam order first thing menu k packed flavor texture amazing rice porridge,1
locate inside old small alley banh uc nong special food try u wander arround old quarter street made sticky rice meat good u hungry stomach,1
whoa tradition dish try really loved one best food vietnam lady past year dont miss,1
excellent food old school style hanoi food affordable price,1
cheap delicious warm kinda nostalgic dish hanoi located small dead end valley give great feeling historical hanoi must try,1
hidden one alley served savoury bowl hot soup mochi tofu hanoi several time indeed one memorable eat hard find local restaurantsstalls also sell noodle recommend trying soft mochi,1
parent really nice son bit aggressive customer young still doesnt understand importance customer service nowadays,1
banh duc nong ip delicious highly recommend,1
literally view food court located dead end lane still delicious great texture suitable cruisine hanoi freezing cold,1
family business since roughly x small alley le ngoc han street good food local,1
ive eaten year banh duc nong mien choc dry clear noodle typical gotos good end alley right,1
fish noodle soup noodle mix topping best palace easy find good local people clean enough decoration plastic table chair many people small house buy take away,1
basically delicious famous among vietnamese student also expensive want know vietnamese cuisine mustgo place,1
end alley hard find good food many item menu fast service good price banh duc nong soo gooooood,1
ideal hanoi food cold day,0
decent food bad view hey thats part vietnamese cuisine banh duc nong still top game bun oc chuoi dau brilliant well,1
great food tuck away alley broth taste homey comforting,1
got ta street food vendor love hanoi hold best memory,1
good taste rated star finally rarely rate anything star,1
bit hard locate food service good authentic,1
average food sitting area relatively dirty,0
delicious banh da tron banh duc great value,1
excellent banh duc noodle,1
waited minute bring wrong order goodluck,1
great food crowded,1
good,1
good food owner kind,1
good street food,1
delicious,1
good light meal,1
good,1
good local food,1
nice,1
good,1
incredibly delicious,1
good,1
good,1
good,1
food delicious,1
recommend winter,1
good eat,1
delicious food,1
good taste,1
really tasty banh duc definitely worth try youre vietnam,1
cool cold autumn weather eating bowl hot banh duc numb soul shop sell smooth banh duc delicious broth enough topping vnd,1
snail noodle dish unique flavor broth flavor saltysweetsoursourspicy reasonable price kbowl banana bean snail vermicelli special bowl add snail minus point,1
delicious hot duc cake seasoned taste guy looking car bit slow output also bit slow,1
snail vermicelli banh duc delicious eat day wish belly bigger could try fish noodle cute,1
food delicious cheap owner bit rude dont understand already breakfast came extra snack asked extra bowl share discriminated,1
small shop small alley simple strong local character see lot hanoi people eating restaurant simply stop snack bowl hot banh cast leave owner friendly easy,1
banh duc okay eat shop owner sell slightly different style additional spice include chili asked pepper told already plenty,1
banh duc added garlic chili vinegar steamed cold day ngol xiu shop snail banana bean vermicelli noodle delicious,1
delicious cake delicious topping service bit slow restaurant owner clean,1
banh duc soft fragrant broth right suitable afternoon snack,1
hanoi golden rain cool sweltering heat take advantage le ngoc han hot banh duc shop time time go city eat gift stepping small alley also creates different thought compared,1
hot banh duc served minced meat chopped mushroom fried tofu little pepper chili fragrant rich taste mixed rice cake quite delicious right taste accompanied celery,1
delicious banh duc location bit small kbowl bring home kbowl,1
quite delicious bowl banh duc k hot cake best eaten winter friend finished eating said sick feel normal main thing eat give back,1
first time eating hot banh duc felt quite delicious,1
binh duc nong best want eat two bowl noodle average banh duc non probably good think noodle better balance term ingredient wonder noodle banh duc non,1
vietnamese version ozoni delicious also curious noodle dish vietnamese person next eating didnt know name dish dont speak english signal bad think better translate menu save photo dish want eat advance,1
shop located alley walk inside space moderate cozy shop owner warm enthusiastic price reasonable person restaurant serf food bit slowly,1
mixed vermicelli delicious hot banh duc good eat restaurant alley true hanoistyle atmosphere cute owner complimented beautiful lipstick gave star,1
overview favorite banh duc shop old town fish noodle shop also top notch,0
eating banh duc hanoi cold weather truly wonderful food hot duc cake delicious ordered mixed rice cake mixed vermicelli also delicious two bowl banh duc v k bowl mixed,1
like every taste mixed rice cake banh duc good eat hot bland dont like dish still like eat small space parking right outside alley doesnt cost money every time go eat crowded,1
everything great including fact location store extremely difficult find banh uc nong socalled zoni surprisingly delicious,1
shop deep alley park car outside walk someone told deposit end alley came didnt take money bit surprised,0
one cheap delicious hanoi meal binh duc nong could call zoni,1
first mixed vermicelli restaurant sister took eat capital hanoi shop operating long time anyone come park car outside walk specialty hot banh duc,1
shop located deep small alley delicious sticky rice cake rich sauce delicious minced meat mushroom owner enthusiastic cute,1
park car outside guy look go deep alley eat banh duc cake delicious hot lot topping taste strange seeing snail noodle pot sell also attractive shop bit narrow,1
hot afternoon gift delicious hot duc cake le ngoc han street love potburning taste banh duc arrive right time restaurant clear pot,1
today friend took eat first time longstanding popularstyle shop small alley banh duc mixed vermicelli super delicious eating addictive save come back eat next time,1
banh duc kbowl like menu say kbowl broth sweet easy eat snail vermicelli k quite delicious slightly sour small snail shop owner gentle talk happily owner also,1
saigon stopped restaurant found delicious easy eat portion banh duc cost k one person full banh duc tofu sauce instead fish sauce like south leave car outside walk deep alley shop owner friendly asked enjoyed food,1
arrived late bun chuoi au bistro small monotonous particular quite difficult find place host really great hospitality food also tasty,1
restaurant space floor bit cramped food bit rich personal opinion reasonable price k bowl hot banh duc drive shop shop parking space entrance alley,1
hot cake super delicious im west eating hanoi food feel bit bland m nois seasoning delicious taste mixed rice cake also perfect two u ate dumpling mixed rice,1
followed google map found restaurant delicious,1
delicious banh duc one rare place hanoi sell hot banh duc also first place dish,1
hot duc cake cost k bowl bowl plump seasoned taste adding little vinegar great parking alley seating cooking area cleaner,1
many dish tried hot cake found super delicious better restaurant ive ever eaten restaurant alley still crowded,1
shop located end alley people park car street go straight inside house also sell fish noodle many people think came mistake hot bowl banh duc rainy day,1
friend introduced hot cake shop deep small alley right beginning lnh street normally rarely wander around area ive restaurant time evening restaurant quite crowded,1
delicious delicious service good,1
disappointed number good review restaurant dressing slow old lady uncomfortable personality banh duc bad broth sweet msg k bowl small compared shop street never come back,1
let go restaurant first really hard find walk small alley saw vietnamese menu photo google map using google smart lens,1
friend stopped eat definitely come second time saw people gave bad review restaurant today wasnt bad imagined food took really long time come remind,0
quite crowded local customer proving suitable taste people central region eat strong flavor like bit bland like vegetarian food restaurant quite crowded tourist bring lot loose item next door noodle shop also delicious noodle,1
doesnt suit taste cake hot sticky slimy greasy boring eat get cheap one kportion see customer come eat mixed vermicelli mixed vermicelli people,1
must say food delicious restaurant small alley feel cozy although parking bit limited,1
banh duc delicious fried tofu good restaurant crowded remembering order bit difficult service fast soy milk sweet,1
came banh duc stayed banh da rice paper chewy super long fiber topping crab beef quail egg sausage different tho lao style less smell soy sauce get tired eating quickly,1
delicious ok price worth experiencing bit hard find alley,1
bad service attitude asked kumquat said find quality food make attitude even though restaurant crowded,0
delicious taste like eating banh cuon banh duc together shop small alley end alley right,1
old man one cooking serving food food came slowly many customer left dont dare experience next time,0
space restaurant old hanoi style small space road addition banh duc also vermicelli rice paper crab fish vermicelli cake price k dish k,0
