Review,Label
strongly recommended nice place good food love french loaf outside crispy inside fine soft,1
real tasty banh mi chao banh mi assorted meat sizzling platter dipping especially die service quick efficient staff course fast responding query majority seating outside extra layer two weather get cold,1
food normal especially bread cold hard staffing good remember order talking serving attitude,1
food ok slow service base order staff,0
according vietnamese friend place pretty famous see banh mi chao fantastic price quite reasonable however seating outdoors dress warmly winter ive,1
crisp crunchy baguette overcooked sunny side egg portion liver pate sausage somewhat acidic sauce like sauce eveything else ok,0
teenager sauce sweet thick,1
crowded weekend day went restaurant chaotic order,0
good used,1
good food price ok,1
good food acceptable price,1
good,1
decent dish suitable price,1
bad,0
good beer,1
food good,1
good,1
delicious,1
good,1
good,1
delicious,1
good,1
delicious,1
good bread,1
bad service,0
good place,1
table shaky pate come thin portion lot staff long wait food portion come first minute later second portion come food delicious everything much less shop still crowded customer,1
shop security guard quite nice staff garlic sauce dipping bread quite suitable suitable young people ordering combo enough fill,1
stopped shop pm shop quite easy find spacious parking sit outside indoors space fine restaurant staff enthusiastic,1
sauce bland interesting flavor pate doesnt taste fragrant staff quite crowded concentrated area second time ive eaten first time even better,0
good food eaten many time eating since student day sometimes want come eat im far home less frequent,1
delicious pan bread portion shown picture k first time eat sister introduced bthg often eat pan fried rice aha food noticed place pate sauce,1
regarding service think okay came guy gave menu menu doesnt mention combo dont see recommendation although shop combo make cheaper regarding food,1
evaluate fairly sauce delicious compared longstanding popular restaurant,1
eaten beef many restaurant establishment like one best staff enthusiastic food served minute beef fresh tender general like come back many time try,1
good food large space professional staff enthusiastic service good,1
saw restaurant crowded tried food normal restaurant space bit cramped food good staff attitude good,1
delicious food worth trying everyone favorite dish pan bread lot pate topping egg potato salted pork leg meat sausage especially delicious tomato sauce hihi,1
ordering bread told wait minute go market buy waited minute still didnt buy bread meanwhile nam dong market close sure line feel like bad experience,0
pan bread hot crispy delicious according personal taste sausage bit chewy pate delicious softboiled egg sauce clear sweet sour taste customer ask staff fill bowl sauce dip bread hey shop also parking cool air conditioning,1
