Review,Label
great location terrible service arrogant waiting staff terrible food honestly worst food ive ha noi mi xao horrendous bland overcooked banh tom sweet potato batter sad,1
terrible service waiter want u buy refused attitude bad shrimp cake good btw,1
local friend bought prawn cake nice almost similar taste ive malaysia eat sauce,1
long time brand food normal overpriced good location next lake service bad parking man waiter please bring cash dont accept card bank transfer intention visit,1
actually decent place order want say dont want shrimp cake perfect view great dont know review bad almost skipped place dined june,1
completely untaisty everything ordered bad ordered different meal also waited quite long staff get order give bill asked,0
lake view restaurant great location packed lunch time banh tom awesome highly recommended,1
extremely busy tet nice area walk around much traffic day visited due public holiday celebration,1
pretty alright waiter friendly view nice,1
good location view heading beutiful lake however food good enought customer care quite poor parking free,1
overpriced mediocre food absolutely terrible service short dont eat even sake nostalgia,0
always visit restaurant ha noi order shrimp cake plate order run rest food fine youre banh tom view order,1
dined restaurant suggested book lonely planet restaurant okay find area city stop food however fried cake shrimp disappointing lot fried pastry one shrimp,0
one biggest dining area outside ive seen australian beef rice dish wasnt bad nice gravy,1
terrible enter ripping extremely expensive,0
staff rude always look angry ordered lot multiple time got angry didnt order even though menu english refuse talk foreigner impatient food average benefit,0
view wasnt bad food service go,0
awful banh tom super dry portion small unnecessarily expensive staff didnt provide u real receipt hand written note asked returned charged u tourist price,0
absolutely hated service staff order one seafood soup orange juice evening feeling like dinner staff laughed u made fun service horrible seafood soup,1
ordered chicken leg breast plate bone cost expensive place ive vietnam worst food ive se,0
rat running around restaurant staff wasnt friendly,1
rude staff try make buy ton fish item imagine go burger joint pressure buy fish,0
please visit please walk min service walk away worst place ever rude service bad behavior lazy staff,0
safe health unacceptable vermicelli leftover previous customer saved service next customer near table plus servi cua bad thin tai dont care customer,0
longer famous shrimp cake small shrimp bad customer service friendly,1
could give star would staff horrid partner rude obvious foreigner werent welcome took forever served drink arrive older female staff especially,0
underwhelming front except location near lake pretty overpriced waiter really consider changing trade obvious wish theyd somewhere else,0
traditional government run shrimpyballs place nice place family gathering busy service view nice quality food average love old woman wear traditional clothing,1
felt ignored staff seemed like upset serve u didnt seat u grab menu empty table across u ready order waited minute finally called waitress take order food overpriced rat everywhere around restaurant,0
horrible place fish cake mediocre overpriced double normal price staff attitude pushy scamming pushing u order overpriced dish want u finish meal fast possible stay away restaurant,1
food nice service bad recommend,1
fried shrimp chip oily cha ca fried fish horrible overpriced dont waste money thousand really better option around hanoi,0
everyone said delicious terrible raw material unhygienic poor service attitude insulting customer,1
customer survice bad chair dirty much better place,0
terrible service low quality food restaurant good year ago dont waste money,1
good site good view,1
infamous rat one worry staff pleasant make effort,1
fantastic food view open lake service fast price reasonable,1
bad rat,0
food really fresh quite oily staff attitude terrible,1
worst place good service sticky table chair dead fish lake,1
food good smelly place nice cuz next lake bleed,1
service basically got seated ignored left,0
expensive taste bad,0
mediocre quality quite overpriced pay view,0
nasty service rude please dont go regret,0
good location clean,1
overpriced food charge extra peanut,0
beautiful view great food,1
rude staff bad food recommended,1
nice view lake,1
overpriced mid tasted food,0
good,1
typical restaurant old hanoi business style plus point beautiful location right middle thanh nien street separating truc bach lake west lake rest nothing,1
oily shrimp cake really boring eat price expensive location service take long time table chair also cramped,0
specialized dish shrimp cake still good everything else quite bad especially payment fraud,1
food quite boring besides shrimp cake rest dish bad drink almost finished brought view west lake also chill,0
restaurant location nice super nice lake view variety dish family went adult child,1
restaurant right truc bach lake cake crispy dried shrimp fresh nice airy view affordable price service staff bit poor attitude professional happy,1
long time almost year since ive come back eat shrimp cake cake seems thinner smaller lakeside shop near phu crispy fragrant shrimp price bit higher,1
try eating famous restaurant hanoi see fun rumor wrong bad meal expensive fried shrimp dish full oil grease unbearable eat snail also normal,1
prime location space close west lake service staff cheerful middleaged lady food shrimp cake fish ball average sitting prime location,1
im traveling try think cake normal personally think place shopee food cake even better price food high restaurant location nice play area child,1
airy space diverse food delicious shrimp cake price seems bit expensive car parking charged,1
many year coming back restaurant feeling still first time service professional staff let customer order keep taking advantage customer word ask,1
damn shrimp cake cost combined plate bring quickly bowl snail cost k snail made water dirty water black full dirt shrimp cake lot flour calculate,1
first impression disdain guest group people ordered two shrimp cake plate salad staff attitude said could people eat much group order end couldnt eat,0
disappointing experience worth price morning went restaurant first time ordered dish shrimp cake fish cake didnt carefully check price fish cake finished,0
famous old restaurant hanoi cool view thanh truc lake cheerful enthusiastic service delicious sticky white rice dish seasoned taste signature dish delicious shrimp cake try warm meal family,1
near lake cool delicious tomato soup,1
careful calculating bill dont use youll still charged normal service ordinary food shrimp cake lot flour lot grease priced k piece shrimp cut half expensive people,0
good quality staff pushed bill point annoyed inviting ordered iced tea brought lipton tea maybe last time cashier speaks without subject,1
family bad experience staff talked vulgarly called customer stupid speak vulgarly market charging service fee k standing around saying customer eat drink like ship hotpot,1
reading review coming restaurant felt bit confused also many bad review arrived restaurant bit surprised staff member standing welcome customer,0
oh wonderful service good good customer face get swollen sigh lot,1
cool view really bad experience family ordered shrimp cake fish cake watermelon juice coke fried rice potato,0
normal entering restaurant bus ticket collected gate dont understand restaurant still service slow temporary food,0
boring bad staff rude attitude im different province general experience boring cant understand prime location,0
food boring price expensive even looking menu staff ordered took menu back waited forever dish arrive family asked pay brought,0
restaurant food safety inspector consider coming put butt saw staff take previous customer plate vegetable pour vegetable basket taking,0
delicious food lakeside view reasonable price try,1
employee extremely unpleasant attitude especially girl welcoming even though shop empty order shrimp cake immediately unpleasant attitude tell open restaurant,1
according advertisement restaurant luxurious professional actually eat see bad food small price skyhigh selling place food staff,1
staff incompetent service rude uneducated order spoken customer forcing customer order according wish customer order another dish attitude menu put,0
always best product among shrimp cake shop location view beautiful smell lake water occasionally affected fast service arrived time crowded didnt,1
food bit expensive understood due restaurant location staff attitude unacceptable even daughter year old still panicked service lady,0
shrimp cake cold super greasy eating whole team indigestion bloating staff attitude unpleasant customer owes money never come back,1
cant believe century still lie family went people intended order plate shrimp cake plate salad snack restaurant owner insisted,0
extremely bad experience today table ordered shrimp cake bowl stuffed snail kg fish cake shrimp cake brought plate okay bowl snail cost k forgot,0
food normal price expensive fried shrimp cake greasy poor service drink good staff enthusiastic customer ask dish get angry yell instead solving problem pho roll delicious opinion customer consider bad,1
miss hanoi autumn came airport sit watch west lake enjoy flavor hanoi ala trang an polite hanoi people shocked service attitude exactly like chasing customer away ordered crab,1
space view truc bach lake airy cool relaxing according subjective opinion ate th day tet food still delicious manager want customer,1
took mother sister hospital checkup chose restaurant raining cake good like shop restaurant service unpleasant,1
restaurant parking customer told let staff park let park outside thought parking lot belonged restaurant sent sent got back pick car lost k bad attitude k second time,0
shrimp cake okay oily best among restaurant along west lake service staff bit rushed unfriendly even though wasnt crowded,1
bad service attitude disregard customer maybe thought restaurant crowded couldnt see,0
followed vietravel tour evening view towards truc bach lake cool delicious food suitable whole group,1
restaurant bad today family went eat group people including child ordered shrimp cake kg fish soup bowl boiled snail,0
unprofessional service attitude food good either first time eating pay service fee parking fee thats normal security guard didnt even park car bad attitude,1
shrimp cake super boring shrimp small shrimp fried much absorb lot oil husband get stomach ache eating price cheap moreover restaurant hire old grumpy,0
waiter boring older lady gentleman disdainful attitude towards customer lack food dont report order food good expensive compared quality,1
despite famous hanoi nothing bad shrimp cake made whole shrimp cost kpiece fish cake made fish fish everywhere look like industrially farmed perch,0
honest didnt crave shrimp cake definitely wouldnt go attitude parking staff management besides shrimp cake pineapple salad ordered delicious dont know youre going eat,1
worthy scale dish bad shrimp cake breaded white shrimp spring roll topping flaky,0
