Review,Label
smooth vermicelli swimming flavourful fatty duck broth given dipping sauce side savoury slightly spicy somehow enhances noodle even,1
traditional atmosphere welcoming staff menu focus bun ngan noodle soup made duck flavorful comforting broth rich duck tender wellseasoned price reasonable portion generous service quick attentive making dining experience even better,1
food mid okay order overpriced drink get seated whole service model sussy,0
good bun ngan hanoi taste soup rich queue long line owner received money allowed go inside house also order buy drink even dont want dont want stay outside arent many slot take sit,1
hidden gem best duck noodle soup expect local eat crowded stool worth,0
food good soup contains salt content combined meal seems like blood pudding came sat outside avoid getting harassed get drink wanted get coffee,1
delicious food owner rude ordered noodle soup complained eat little didnt sell price k sold previous buyer asked bowl k received,1
awesome duck noodle soup lady bos apparently sell well official close hour signboard indicates pm sold lunch time queue incredible,1
place frog hot pot joint delicious basically eat frog cooked many different way two different style fried frog leg frog leg skin cooked hotpot bamboo fried chicken piece sweet,1
hidden gem place mostly local serving flavorful duck soup dont fear nonenglish speaking staff dive taste experience,1
best bun ngan duck noodle hanoi everthing duck meat broth dried young bamboo price good even local person like service quite disappointing wish would change one day difficult,1
amazing experience enjoyed frog bamboo hot pot local hired motorbike tour suggested restaurant amazing highly recommend trying hanoi,1
vermicelli soup bowl good duck tender well marinated line pretty long every time come usually wait minute get food plus little intense watching yell people try ask much get mad haha otherwise food worth,1
came local friend whove coming year totally understand duck soup fantastic longyanlotus drink really good,1
even one speak english good soup noodle worth trip sit inside must order drink look around see people order cheapest drink vnd vnd noodle vnd choose rice noodle clear noodle meat soup noodle,1
best bun ngan hanoi broth thick deeply flavored duck bone thats simmering hour meat also flavorful without gamey taste typically find dish,1
great taste highly recommended small shop fancy restaurant however cozy place great food p put msg food really sensitive msg dont suggest try food,1
come early would left sold pm sunday visited delicious broth worth calorie limited stomach space,1
argue whats best place along ha frog hotpot great place cheap comfortable,1
came bun ca owner dont speak english didnt feel warm friendly place weve vietnam however food great cheap street feel localy well worth visit,1
pretty dirty entrance normal dining exp,0
try good frog hot pot,1
unfortunately cook dishonest refused give change back even meal good recommend people,1
soup salty noodle lady staff friendly fatty duck meat definitely coming back,1
unlike street massage spot place provided professional massage girlfriend talking masseur quiet amiable professional masseur made sure strength massage appropriate thank sen spa come back,1
hot stone massage extremely relaxing right amount tension well priced facility clean tea treatment nice touch would definitely recommend,1
place good siamese duck noodle dont know vietnamese really hustle come weekend avoid long line usually dong per bowl sit inside must order drink recommend,1
taste still good bear motorbike keeping fee vnd much,1
nice duck dish however owner tend rip foreigner ordered one bowl share k vnd come additional bowl duck meat bone watched local get instead neglected,1
difficult order lady work nice everyone around eating type duck soup wanted try served something different like wish could eat style everybody else,1
staff friendly speak english difficult foregners make order ordered two basic standard noodle soup costed u k found thin slice duck goose meat piece cooked,1
welcoming went reception fantastic massagei minute traditional vietnamese massage best massage vietnam,1
massage home goodrelaxingpricek minute body massagethank much,1
affordable average quality,1
sen spa one favourite spa far service superb wonderful staff nice customer,1
yummy duck blood bamboo shoot,1
professional polite good recommendation hotel please mot ask tip tip ypu deserve,1
succulent dish hotpot loved friendly helpful service,1
friend quick back shoulder massage really lovely service great massage,1
genuine massage relaxing good reasonable value money recommend,1
food good lady owns shop friendly cant seem care less customer,1
massage good gave u discount even next visit,1
stopped massage long flight everyone lovely massage needed,1
beautiful place great service absolutely worth price want relax come enjoy,1
nice friendly staff provide excellent service foot massage good relaxing,1
recommend spa amazing stuff friendly dont hesitate visit place,1
nice hot pot place extremely generous portion dont put rundown appearance,1
nice good food amazing time friend,1
food good quality fair price definitely come back,1
good food table chair equiped,1
good service full body massage brilliant,1
good taste best duck meat,1
really nice massage professional peoplei really recommend place,1
good massage superb service worth visit,1
good food seat seem clean,1
come restaurant usually good food cheap price,1
dont ever come place owner really rude never come back,0
good food bad service need order drink,1
ngon cheap good qualityquantity,1
first place try frog frog hotpot taste good,1
massage place provides excellent service,1
must try lovely tasty wine,1
famous place enjoy authentic frog hotpot,1
great food empty stomach night,1
salty price pretty good,1
good masage thank,1
great food casual place,1
good meal horrible environmant,1
good massage relaxing good service etc,1
delicious quite busy,1
absolutely delicious must go,1
nice meal,1
delicious,1
good value money,1
good massage,1
good massage,1
good massage,1
great food delicious,1
good,1
good,1
amazing experience great friendly service,1
good food price,1
massage good,1
good massage,1
good massage,1
good massage,1
okay quite funny,1
good massage,1
good massage,1
cheap nice view,1
love food,1
good,1
good,1
good,1
good,1
good,1
bun ngan nhan ngo trung yen hoan kiem district one famous noodle shop hanoi hidden small alley heart old town restaurant always crowded customer early morning early,0
delicious two time came hanoi eat restaurant delicious restaurant open taste delicious,1
personally think vermicelli noodle delicious eat vermicelli feel flavorful eating vermicelli eat light food find bit thick,1
overall rating good thats eye dont see heart doesnt hurt food hot broth delicious fragrant amount meat quite large,1
personally think noodle delicious said didnt curse anyone day child family give priority first,1
delicious vermicelli delicious goose flavor hard find elsewhere however seating service queuing thing people consider deciding eat,1
ngan nhan seems leisurely best ngan nhan restaurant hanoi eating hard forget taste,0
excellent place local people try typical dish duck noodle soup good recommended take coconut lychee drink good super affordable price,1
insanely crowded tried got duck chicken noodle thinner pho punch soup stock really delicious,1
first time opportunity come hanoi stop bun ngan nhan try bun ngan quite delicious tender goose meat clear light broth price k vnd bowl ordered another bowl nhan nhan,1
bowl cost k big full broth delicious blood soft goose delicious hesitant first time went owner attitude also good shop accepts bank transfer,1
got lost noodle shop day went trivia center restaurant crowded standing line long time stomach say winter stomach must delicious stop trying,1
famous delicious food rv,1
dont want feel guilty bowl vermicelli stay away place first vietnamese review ive written want everyone understand bad horrible experience,0
ngan vermicelli eaten many year still delicious wait bit,1
first time tried bun ngan nhan listed ggmap opening arrived restaurant told wait minute wasnt could order pay sit inside,0
noodle shop love hate love bowl vermicelli really plump delicious beyond measure goose meat soft succulent broth fragrant braised,1
sell water home dont drink water outside still wondering poor service shop like still exist k bottle dasani water sit eat noodle peace,0
never eaten better bun ngan restaurant nhan ngan noodle shop even though go eat scolded time never mind delicious fine,1
come back second time waiting line heard owner curse staff like singing broth pot furniture look unhygienic shop table,0
let talk deliciousness anymore shes famous still like many people suggested rent another place sit,1
restaurant always crowded floor full table frog eat well enough fried stirfried salted hot pot dish food delicious problem restaurant need improve,1
person frog hot pot quite lot cant eat price reasonable youll addicted eat ive tried restaurant restaurant best floor seating bit inconvenient,1
restaurant quite famous food prepared taste price bit steep hot pot frog fresh restaurant already fried put refrigerator customer come take,1
bad small restaurant small alley crowded average food long waiting line must buy water sit dont understand rated restaurant top really expensive long wait delicious many extra charge shouldnt try,1
year returned eat legendary bowl vermicelli covid epidemic break everything still food delicious broth sweet rich grows crispy rough general,1
meat dry soup delicious noodle also smooth also freshly made juice store fresh delicious,1
food delicious broth rich goose dipping sauce delicious go around mealtime wait line minute turn ordering want order water sit cool,1
famous delicious frog hot pot area price reasonable always crowded weekend go early get table,1
lot dish pho hot pot clamscool beer ok sit night food available early morning service good quite fast,1
nhan duck vermicelli one delicious duck vermicelli restaurant hanoi besides delicious many thing say restaurant first want talk feeling eating vermicelli,1
crowded full garbage eating noodle soup must accompanied drinking water else waste time eating bowl vermicelli like asking food dont understand many people come,0
ngan nhan noodle soup delicious famous hanoi old quarter reasonable price seating bit cramped,1
shop easy find edible frog hotpot come two size k k much different addition saltroasted frog sweet sour frog fried corn free parking outside shop sits plastic chair ground people ate saturday restaurant crowded,1
bowl vermicelli filling broth right cleaning table tile floor dirty dont like standing line waiting called anymore many customer competing seat cant hire staff member run table,1
delicious food reasonable price restaurant right beginning long bien bridge quite easy find problem parking space,1
delicious quality suitable price,1
food ok beef bit chewy wellcooked service attitude good,1
saying one word bad reason look star genuine comment,1
first time encountered extremely unfriendly store vietnam ordering picture restaurant cant see keep waving u away,1
clean look dirty unhygienic spoon chopstick slimy cant washed cleanly food loses taste sit inside order water people order,1
grumpy customer service food good rumored maybe second time,1
restaurant quite crowded queue want sit eat buy drink food also delicious good quality note restaurant quite crowded order quickly avoid complaint haha,1
