Review,Label
great tasting food great atmosphere tried hainanese chicken roasted pork rice really good finished whole portion rice unusual really taste good service topnotch highly recommended trying different food hanoi,1
preferred spot businessfamily lunch restaurant provides pleasant cozy atmosphere friendly service tends get busy peak hour lunchdinner time advisable make reservation advance dont,1
found kampong grabfood decided try person believe hainanese chicken rice best hot freshly served visited dao tan branch really satisfied taste portion size melon soup already included rice set also highly recommended,1
food really pricy add tax top later st cash staff clumsy service fried rice good made sleepy late afterward,1
great hainanese chicken rice chicken tender although price bit higher surrounding shop worth since restaurant clean service decent,1
firstly would like commend staff upstanding fantastic service staff went beyond truly appreciate thier effort food phenomenal atmosphere exactly desired,1
love order rice chicken fav dish restaurant special tofu desert really special,1
simple yet tasty chicken dish try hai nam chicken rice especially love accompanied well prepared sauce go nicely steamed chicken drink also fine bit expensive though,1
excellent chicken rice great support staff,1
good food,1
kampong stand country side malay language hainanese chicken rice singapore dish exactly eat singapore rice oily healthy simply love musf try,1
tasty hainan style chicken rice hot pot also good,1
good experience nice service price,1
great thai food broad menu something everyone service ok wifi ive time always good food excellent pad thai,1
service need improve lot slow staff always stand corner chit chat,0
food taste good price little high small portion serve duoc nhung phan nho,1
nice,1
first chicken awful odor seem fresh soup rice werent warm food definitely worth price quality lacking quite terribly,1
good taste clean highly recommend,1
great hainanese chicken rice chicken tender although price bit higher surrounding shop worth since restaurant clean service decent,1
great restaurant ok price good food,1
service splendid staff speak english foood delicious savory didnt take time serve food waited minute dish served overall great dining experience,1
good chicken rice,1
authentic hainanese chicken rice somehow better place singapore fast friendly service would recommend,1
little pricier place food good good menu choose special chicken dish table bit small came group better make reservation,1
crowded good chicken rice normal price,1
great food reasonable price hainan rice chicken must tru salted fried chicken cartillage great,1
good place family,1
great,1
nice,1
great,1
yummy chicken dish especially fried tofu salted egg highly recommended,1
highly recommend hai nam chicken soy chicken char siu okay,1
good food,1
bad though service bit slow waited minute chicken rice,0
food nice crowded service good,1
taste good pricey narrow lil bit stuff space make noisy,1
good,1
nice restaurant delicious food,1
great place experiencing singapore style food lot different chicken based dish,1
good food clean service good,1
decent food busy lunch mostly reasonable price,1
good food good price sometime space small,1
clean good food chicken rice good taste well,1
quite expensive pax good food especially chicken,1
nice decor healthy food nice service,1
good range food tasty,1
food ok service good,1
good place family child,1
chicken oriented dish quite good chicken rice,1
nice food little crowded,1
good place meal,1
delicious chicken dish back,1
