Review,Label
really beautiful brand new spot great lake view coffee decent like getting dolled take million selfies place thats really vibe thats give instead star thats want coffee shop good choice,1
drink ordered ok nothing special atmosphere wasnt good enough air conditioner didnt seem work properly bit humid inside water leak bathroom floor also crowded making,0
espresso tried serve iced americano espresso showed espresso supposed made coffee good,1
ordered espresso coffee stood watched make poured slop didnt even bother turn espresso machine theyre embarrassed anything dont speak english pretend dont worst coffee hanoi,1
big brand surely know single use plastic terrible planet health cup thick part world plastic pollution problem khong tot,0
crowded beverage acceptable,1
dozen beautiful young girl drink contain ice nice design,1
super busy great coffee place meet friend good place meet single woman,1
good view west lake,1
good drink,1
amazing,1
good enough,1
hmm restaurant pretty good view opposite restaurant view lake however drink dont really suit taste sweet day ordered shop best seller peeled harshly,1
restaurant view even amazing nice weather day perhaps popular place lot people many comment drink sweet liked,1
shop quite hot online go sunny day definitely find restaurant beautiful went rainy foggy day one table person,1
doesnt taste good expensive tea seems crazy expensive fee friend drank cup butter time,0
ok really like chocolate clear taste space chill scene small many shooting angle,1
katinat west lake large clear view lake go upstairs sit cool place crowded weekend want nice place quick drink katinat price,1
receptionist ordering staff pleasant dont like service staff much ordered young coconut butter size without ice got much even cup disappointed,0
first security guard rude customer even though older attitude enthusiastic,1
cafe beautiful view convenient beautiful location design style suitable young people sitting balcony night quite cool wind however hot day,1
milk tea quite fragrant still bit sweet even though sweetness reduced little cheese pearl topping bthg taste bthg restaurant decor,1
day kati nhat called sacred place mz vietnam ordered best seller among milk tea drink doesnt taste great,1
katinat ho beautiful airy view drink quite ok friendly welcoming staff parking convenient price relatively reasonable,1
restaurant located prime location right intersection direct view windy west lake sitting inside looking like going beach,1
old security guard upset didnt want shop customer something asked take car turned around left saying could take car high slope turned around,0
today came shop early morning shop opened empty view super beautiful drink find old avocado young coconut delicious aroma,1
restaurant nice view would better coffee served table employee come order table bring coffee table glass filtered water lot employee mainly stand counter,1
view chill nice cheerful staff space bit cramped,1
service staff doesnt need customer talk customer without enthusiasm customer sitting sun say dont enough umbrella rambutan milk tea without rambutan,0
restaurant staff seems like idle dont work something came see staff unpleasant attitude afternoon went shop saw manager scolding employee point,0
restaurant staff service arrangement terrible didnt good impression flood season successfully fighting fire wanted try bad,0
restaurant beautiful view convenient location see west lake,1
katinat famous coffee chain emerged recent year nice location decor stylish among coffee chain hanoi,1
drink branch satisfied staff branch enthusiastic support customer phan dinh phung branch staff speaks blankly face cold extremely boring good service give,1
drink k cup drink normal price compared tay ho area drink nothing special restaurant quite crowded noisy,0
restaurant crowded staff huddle basement talking laughing regardless customer table filled drink guest cleared space cramped,1
drink normal price bit high compared quality nice space attractive coffee drink much ice one whole cup ice good position,1
restaurant space airy chill view west lake however experience today good went restaurant friend sit nd floor saw manager scolding employee cried,1
restaurant full still accepted customer asked sit sunny table table full dont accept customer,1
food great service crowded parking car lake view cool,1
view airy beautiful take pretty picture drink restaurant quite cool sit smell bit like fish bit hard smell house large floor,1
employee made wrong bill gave wrong item responded bad attitude employee made mistake,0
like tea katinat flavor fragrant refreshing doesnt taste like premixed chemical toilet clean,1
good drink crowded,1
airy seating beautiful view think emotional experience quite good drink also good,1
drink delicious staff good crime big cafe say toilet broken fix unreasonable restaurant nice view suitable taking photo,1
manager tell employee useless scolding employee right front customer eq negative infinity im sure brain going crazy dont bother staff anymore careful go people threaten right,0
restaurant crowded drink sweet table close together feel bit cramped restaurant decor okay,1
small space youthful design outdoor indoor seating wooden table chair main one drink quite normal buffalo leg cheese special overpriced,1
restaurant located directly overlooking west lake street wide airy staff enthusiastic friendly drink diverse delicious,1
go katinat buy something minute car broken mirror lost hat really hesitant buy food take home knew restaurant,0
restaurant decorated ok space small table chair close together conversation table next table heard suitable bring computer study work service ok drink normal crowded weekend seat left,1
service bad took long time order staff work placing order customer leaving customer waiting sympathize restaurant crowded order pm pm,0
restaurant cramped hot even though sit indoors right air conditioner cant stand whats wrong pearl pearl stuck together cant sucked asked staff said would fix give spoon eat pearl pearl,1
good cafe acceptable price spacious airy setting beautiful view west lake,1
super crowded restaurant extremely long wait order via grab wait long time order restaurant drink okay option ask reduce sweetness,1
bad service staff didnt know set customer telling table chair staff room felt redundant drink ordered hot come half cup ice whats wrong,0
pleasant experience first coming restaurant drink normal nothing special even order restaurant recommends,1
dont know many employee counter definitely order line customer line super long slow line think get rid one side order dont let side order annoying,1
