Review,Label
heard much place conveniently located around corner hotel hang ga go first breakfast hanoi honestly dont know typical hanoian unfriendly,1
excellent place taste first pho order pay first may find place bit crowded worry local eat fast menu pay size large k medium k small k reasonable price pho enormous meat,1
really yummy didnt know menu item meant asked two gave u something great would recommend getting youtiao fried dough let youtiao,1
recently visited pho spot featured michelin guide say broth sweet clean table however service major letdown staff seemed disinterested unfriendly,1
three u beef pho egg couple plate fried dough total vnd around u pho delicious flavorful,1
pho good best place dirty floor full tissue paper nobody seems bother cleaning feel unhygienic,1
incredible pho broth somehow flavorful feeling less msgey anything ive u meat cut nice thickness also flavorful thing wasnt board,1
pho gia truyen bat isnt bowl soup testament hanoi unapologetic culinary soul there frill hereno table full sauce overly friendly service line pay wait youre rewarded,1
delicious pho broth rich flavor price also cheap portion quite standard person cakwe taste standard nothing special place good worth price place really,1
michelin jongwon baek high expectation great disappointment shame common calamansi black pepper,1
love exploring local culinary spot one even mentioned michelin guide try say best pho city,1
three option pho raw beef cooked beef mixed great authentic feel restaurant delicious food go counter pay waiting staff must eat place,1
amazing pho broth thinly cut slice meat tai nam rare flank steak tai rare brisket chin well done brisket got tai nam chin bowl kind small amount beef get make,1
love try prepare small bill take big one k vnd,1
always service quick food delicious table back area went storm surprisingly open verry accessible place somewhat clean serve menu tell,1
nice food soup taste tasty delicious menu tai nam containing mixture meat tai containing white meat precooked little fat chin containing red meat,1
pho soup somewhat flavourful better pho soup outside place dirty used tissue floor basket every table owner bad sevice attitude heard order wrongly yet blame,0
michelin star resutarant maintains old world charm legendary pho tai nam cleanliness seating issue lot scope improvement,1
food ok put sugar soup sweet taste expecting line long wait like food dont lot choice,1
incredible delicious back fly home best pho ive,1
place serf much better pho pho broth richer generous amount rare beef beef brisket person making pho kind enough allow picture order herbal tea nextdoor awesome meal place michelin star well,1
incredible pho tender slice beef juicy broth definitely come back,1
delicious generous portion lot meat char kuay good soup,1
quality pho great soup subtle flavourful continues develop progress bowl letting topping impart flavour broth,1
place recommended hotel staff michelin rating per hotel staff also per display place,1
