Review,Label
good,1
wait hour get served wrong meal chicken decent,1
good,1
decently priced value k chicken,1
food okay eat chicken bit dry sauce sometimes sweet fried layer often burned return quite lot chicken compared,1
went back te te today disappointed quality food beef kimbab super chewy smelly chicken garlic butter sauce smell industrial chicken sauce piece strawberry,0
chicken delicious cheap crowded staff always forgets take bowl chopstick customer security guard bit bully soon customer entered told park car park,1
ate restaurant february ordered photo pm still received cold noodle restaurant replied innocently forgot ok okay wait long time,1
restaurant took long time serve staff busy playing phone couldnt hear customer order sweet spicy chicken little sauce ok cheese chicken normal stirfried tok korean vermicelli,1
minute bowl chicken like making food take long long time service staff seems like dont want sell hand thing customer unpleasant look face,1
staff doesnt work well focused first time forget return food customer customer wait long time table come later put food first first time either,0
updated eating restaurant understand restaurant scored low shop dirty cramped noisy wait staff wild without,0
went eat paid felt like begging female waitress nd floor motherly attitude banging food table loudly scary probably annoyed serve customer standing,0
ive eaten quite time food good price suitable student service sometimes fast slow food great price ok chicken garlic butter sauce cold noodle kimbap,1
food delicious food take come space bit cramped price reasonable chicken especially delicious,1
te te last name given still sitting sidewalk lang pagoda opened facility dont travel delicious cheap suitable student basic space great,1
waited minute come food good service always took long time bring food plate chicken doesnt bowl eat,1
opportunity visit restaurant enjoy famous chicken dish general dish quite delicious chicken richly prepared meat soft flavorful especially suitable like,1
coca cola buy fake little gas drink bland,0
food chicken dry little sauce dont find delicious chicken piece inside still red,1
there nothing complain vnd cheap extremely delicious order small chicken cup small try many flavor every time cant eat restaurant give lot,1
finishing eating food brought drink service attitude poor food delicious noodle cold left long time reading review saw many people bad experience dont restaurant change,1
restaurant service super slow wait hour dish come mixed rice taste mushy probably due lot sauce slightly mushy rice,1
chicken called supreme garlic butter garlic butter little sauce supreme ukila went around pm restaurant airconditioned cool food served quickly amount chicken quite lot,1
ordered waited hour enough food waiting pm,0
afternoon went eat new hotel nothing happened left asked male employee sitting outside door take car male employee arm covered tattoo attitude,1
food quite good reasonably priced however chicken bit dry delicious temple restaurant get spacious clean airy space,1
chicken delicious ate one piece raw cold noodle super bad cold taste tok kimbap also ok many topping,1
restaurant easy find crowded afternoon rush hour fried chicken good two u cant finish cup baby chicken first time eat order baby cup try,1
cold noodle delicious taste chicken also lot sauce everything fine come back,1
hic first staff quick ok seems like owner restaurant changed nearly year ago something long time since came back im disappointed staff,1
staff attitude towards customer expressed criticism customer service took long time cost money eat service bad table wiped clean stain,1
went sunday dinner restaurant quite crowded waiting order minute waiting food arrive minute consisting three dish cold noodle cup chicken garlic,0
eaten chua lang establishment one vu pham ham spacious beautiful better service delicious chicken ok mixed rice ok cold noodle watermelon mint juice something dont remember clearly wasnt delicious reasonable price visit next time,1
waited minute get half food chicken delicious tokk rose strange sauce like mixing powdered milk little chili powder gimbap meat vegetable ncl sad,1
say food bad restaurant take long time open staff enthusiastic bowl chopstick dirty matter wash spoon still rice chopstick,0
staff park car sit quietly door mouth open talk guest every order sold report waiting item,0
flavor chicken delicious tok mixed noodle soso staff attitude female super annoying grumpy customer please retrain staff store want maintain fixed customer,1
fried chicken considered passable cold noodle mixed rice delicious eating still stomach ache service staff bad attitude towards customer,1
