Review,Label
love food especially oyster tried grilled thai sauce cheese one like grilled one better,1
amazing food grilled egg spicy thai oyster super good sit plastic stool eat amazing food simple,1
delicious road side snack although food simple yummy well prepared full house even evening time weekday friendly service,1
best oyster ive ever eaten hand incredibly fresh meaty ordered two variety favourite one pictured menu think garlic fried absolutely perfect,1
amazing food lovely staff quail egg must,1
grilled egg chicken foot tasty cashier lady nice made sure knew expect chicken foot meal said many tourist tried order food arrived grossed definitely come back try oyster,1
cozy local food place outside service get eat food sitting typical low plastic chair food delicious ordered grilled oyster cheese vnd piece plate sliced sausage hot,1
cheap local snack taste food expectation fresh oyster thai hot chilli sauce soooooo good also quail egg fire,1
recommended street food hotel nearby simple little local canteen little plastic stool sit well use small table grilled egg dish popular interesting flavour,1
love light snack check oyster scallion oyster cheese plate come oyster trung chen nuong grilled egg xien ga ngu vi fivespice chicken skewer price reasonable environment hot uncomfortable,1
ordered baked quail egg topping floss slice sausage bit cheese green onion table would chili sauce sweet sauce make sure add combination super duper yummy,1
best food town delicious,1
grilled oyster fried onion might single greatest thing tasted run must stop food lover bourdain would gone nut,1
small little shop tucked corner serving freshly cooked bite stand surprisingly lemongrass boneless chicken foot grilled egg oyster cheese bad price super affordable k vnd oyster unbeatable value,1
awesome street food eaten time grilled egg oyster yummy,1
good food especially chicken ball,1
awesome little spot tucked away around corner busy street oyster cheese quail egg incredible,1
delicious cheap street food sure try grilled egg,1
must try chicken skewer fried pork roll grill quail egg saucer butter ordered everyone well cheese oyster flavourful cheese oyster scallion oil bit bland peanut give nice texture value money local sitting low stool,1
must hanoi recommend grilled egg oyster thailand sauce spice chicken skewer went twice three day,1
honestly yummy best oyster ever eaten also grilled egg must cheese chip others food sooo yummy twice lovelly staff popular local def come back,1
super local streetfood make sure try grilled egg,1
long queue something new experience taste didnt feel comfortable service,1
friend took u honestly awesome little vendor definitely busy food price amazing get egg fry ham youre oyster fan need try,1
egg delicious pork sausage cheese stick well nice simple tasty,1
good surprise quickly meal way woman work really nice speak english good local atmosphere,1
fried egg chicken semispicy sauce really good,1
nice food,1
oyster chicken skewer grilled egg great seating tiny stool may challenging tall westerner place tea time,1
street food worth drop try quill egg cooked small plate butter sausage green onion scallion,0
delicious street food wish found sooner leave went two night row,1
delicious owner kind service amazing definitely back,1
nice food experience lot local food fabulous,1
grilled egg awesome,1
perfect snack family loved,1
excellent place visit,1
grilled egg cup restaurant famous long time opened nguyen khac nhu street easy find location spacious clean space,1
shop right beginning hoi vu intersecting trang thi sidewalk seating opposite shop food shop sell lot snack grilled egg fried spring,1
egg oyster delicious chicken foot bad eat two dish service forgetful rest ok,1
k cup good price okay many young people come eat cold weather delicious tamarind sauce,1
restaurant super crowded went luckily new customer able find spot wait egg bit long oyster little faster water fastest,1
charcoal grilled food fried food restaurant popular restaurant among local,1
egg oyster delicious instead dont go oyster late go late night oyster fresh information good bring bottle beer drink one sip time really like,1
night wandering around knowing eat saw restaurant tiktok tried ate fried ball garlic sauce cheese oyster grilled egg fried ball delicious rest special even sitting sidewalk chill,1
grilled oyster cheese chicken skewer signature steamed egg ordered thing delicious added menu one one price cheap delicious,1
clean delicious eat egg could even meal instead rice,1
new shop new address larger cleaner old address hoi vu air conditioning open space,1
since ive back went peak hour found restaurant less crowded taste also felt little less delicious dish,1
dont waste time eating add tamarind sauce chili make delicious,1
oyster absolutely amazing try food seen snack sit small stool sidewalk way find authentic hanoi highly recommended,1
president female staff friendly speaks english well nothing delicious grilled cheese oyster grilled quail egg grilled shallot oyster sausage fried chicken skewer grilled,1
shop easy find lot seat wide alley lot parking motorbike food come quickly delicious reasonably priced minus point many fly mosquito try egg cup fried,1
food okay good restaurant small customer mainly sit side sidewalk near restaurant tourist try see wont full eating dish seems,1
grilled egg ok spring roll ok oyster fishy cheese food ok finished eating food poisoning,1
grilled egg fragrant delicious oyster normal taste fried potato taste like punch snout hard greasy,1
delicious see crave going cool autumn afternoon sitting outside eating bowl grilled egg enough,1
cute seller depends dish egg cup sour roll delicious eat fried dumpling bit thick oyster soso,1
grilled egg quite delicious unique crispy onion right taste cheese oyster bit boring eating one dont want eat cheese stick ok ill go ahead order egg,1
food come quickly delicious,1
good food open sidewalk seating,1
staff really friendly spoke good english comfortable even couldnt speak vietnamese taste quite good egg delicious grilled oyster cheese even better kind,1
especially like grilled egg chicken dish,1
egg cheese shake delicious served quickly remember note detail dish little space two people go sit facing next,1
downtoearth food stall grilled egg oyster grilled chicken skewer delicious unique,1
delicious food good polite service satisfied unfortunately outdoor space bit limited delicious dish still egg cup super delicious,1
grilled cheese oyster k grilled egg k good quick meal sitting street,1
great vietnamese snack baked egg grilled oyster recommended try come hanoi vietnam,1
accidentally fell row grilled egg way eaten plate grilled oyster cheese sidewalk shop compact plastic table chair,1
