Review,Label
fresh tasty food staff friendly useful always help customer barbecue beef meat price reasonable inner decoration nice spacious comeback,1
food delicious fry fire liked meat sausage seafood salad apple cabbage bad thing carbonated drink unlimited kambucha drink strange isnt enough greenblack tea least tea lemon,1
service definitely zero odered combo plate price okay alot aswell meet tender well marinated couldnt order plain white rice eventhough rice bibimbap dish ended,1
delicious bbq meat well marinated tender doesnt feel like cheap cut,1
reliable,1
love,1
nice,1
buffet kperson includes hotpot grill,1
good,1
nice,1
nice,1
nice,1
nice,1
nice,1
nice,1
nice,1
nice,1
nice,1
good,1
good,1
nice,1
good,1
nice,1
nice,1
found food taste staff enthusiastic attentive remember friend named tu discount voucher significant,1
delicious food airy clean restaurant space hue staff serf enthusiastically,1
delicious food enthusiastic attentive staff dummy,1
day went restaurant quite crowded staff still took care enthusiastically table day staff member named cam tu took care carefully changed grill grilled meat u thoughtfully delicious food refill continuously food come super fast,1
food quite delicious compared price range staff enthusiastic space quite strange,1
food delicious staff enthusiastic serve day ate crowded child making lot noise everything fine chance would support,1
good food enthusiastic staff cam tu yet ny thank restaurant,1
went evening booked table advance food came quickly beef dish bit salty cant remember name rest ok light hot pot flavorful dont rate highly service staff ok,1
good food nice staff,1
delicious food friendliest staff yaki restaurant ive ever eaten table ate lot dropped thing food everywhere still served enthusiastically warmly especially quyen tu hung yakimono nguyen van loc top roof skyhigh fluttering,1
good food dessert bit limited delicious child make much noise,1
food okay day went program pay suitable large group restaurant gave group cold noodle personally often eat korean cold noodle shop find,0
ive many restaurant admit staff best restaurant ive ever eaten service fast enthusiastic ill come back chance,1
food good staff enthusiastic quick neat come back staff meat bit tough tiring chew,1
would like send sincere compliment hong van staff professionalism dedication excellent service attitude right first contact felt friendliness thoughtfulness enthusiasm working style,1
great restaurant truly culinary highlight cozy space sophisticated decoration attentive service staff everything creates truly memorable experience,1
satisfied attitude working style employee named quyen always maintain friendly welcoming attitude towards customer handle work quickly professionally even though restaurant crowded always remain calm attentive serving,1
food delicious meeting hong van automatically delicious pleasing serve quickly concisely pay close attention guest feeling even though restaurant crowded still maintain warm,1
