Review,Label
traditional vietnamese dish absolutely delicious,1
food ambient ok waitress waiter properly trained hardly pay attention customer requirement ordered food,0
visit want bun cha food good dont expect much thing else,1
pretty tasty pork soup tad sweet side pho great popular local worth try,1
good food breakfast hardly patron friday morning september clean place,1
traditional food clean environment,1
good taste good recipe wherever go bun cha sinh tu remains good quality food,1
bun cha best service fast price reasonable place like,1
bun cha really good never like menu,1
food little sweet much delicious expensive,1
nice,1
good taste fast service,1
awesome,1
great,1
good restaurant,1
worst restaurant ever never come back whole restaurant employee ordering paying serving carrying food helping kitchen there lot customer there service car attendant come,0
havent yet found buncha restaurant taste better chain store first taste guaranteed point hard compare place like pobay buncha jennymom dockim huonglien many,0
ive eating many year im sure owner changed recently cleanliness service attitude improved significantly course deliciousness traditional bun cha par price also expensive traditional popular restaurant acceptable,1
enthusiastic friendly agile staffairy clean space nothing complain definitely come back next time,1
space airy clean food seems industrialized,1
restaurant spacious hoang dao thuy street spacious parking restaurant crowded busy space inside restaurant spacious suitable large group,0
restaurant spacious clean beautiful delicious food enthusiastic staff everyone try,1
buy set bun cha take home serving k disappointing noodle sour even though blanched still sour smelly vegetable stalk wash dirty meat also come piece swear first last time ill buy food sinh tu bun cha hoang dao thuy,0
restaurant spacious always crowded price range k bun cha delicious taste dipping sauce right however,1
located first floor apartment quite spacious beautifully designed,1
going go clumsy bunjja restaurant definitely good bet spacious clean hall price may bit expensive taste service beyond reproach since learning place cant eat bun cha anywhere else,1
delicious food beautiful decoration clean airy space enthusiastic service try wont disappointed,1
shop conveniently located large road old brand quality impeccable finished special portion k asked another plate vermicelli cup healthy bean milk wishing delicious meal,1
delicious food quick service staff full topping point,1
restaurant emphasizes decoration spacious look clean however friend waiting food cockroach ran onto table shocked,1
shop spacious space look clean shop owner take time invest decor perhaps brand emphasizes experience location space care much main issue whether food delicious,1
daytime shop quite crowded wait isnt long another shop try,0
beautiful delicious bun cha hanoi,1
bun cha lot meat dipping sauce depends person taste delicious seafood spring roll lot filling dont like much eating feel full restaurant clean staff good,1
bun cha seriously delicious meat rich aroma charcoal fire plenty bean sprout plenty vegetable bit hot,1
delicious bun cha extremely crowded food come quickly ok manager funny,1
bun cha restaurant fried spring roll delicious price high reasonable compared space location quality restaurant restaurant right front space spacious clean airy polite quick staff,1
star authentic snack sweet refreshing havent tried yet worth try,1
delicious food clean cool space especially fast dedicated service staff come back,1
chose spring roll noodle dish delicious fried spring roll hot crispy person priced k restaurant clean,1
oh god never eaten delicious bowl vermicelli service staff enthusiastic attentive chance come back restaurant long time,1
clean space delicious food standard bun cha sinh flavor hanoi delicious convenient transportation reasonable price ok service,1
food delicious clean come quickly service staff good try lady,1
restaurant clean location nice food normal nothing special patty delicious service bit slow,1
restaurant beautiful space clean food promise come back,1
restaurant spacious spacious bun cha edible kportion bit expensive wet toilet,0
bad service dirty table one clean make customer wait long time many customer come later served first never come back,1
clean restaurant super delicious food friendly staff support shop lot,1
food ok nothing special seat decent eating restaurant vegetable full dish also quite richer bun cha shop,1
nice location open side food standard chain spacious parking,1
food terrible grilled meat patty smelled kerosene raw vegetable dirty crushed,1
delicious food clean airy space enthusiastic staff come back,1
arrive first wait minute even though table come later food avoided expensive item mainly due rent dont come eat,0
food restaurant delicious vermicelli noodle soup delicious dipping sauce friendly staff,1
food bit pricey okay compared average chef delicious,1
today wonderful experience bun cha sinh tu delicious food eyecatching decoration clean airy space im quite impressed restaurant enthusiastic welcoming service even eat feel delicious definitely support shop,1
enthusiastic staff clean restaurant,1
delicious food enthusiastic service staff,1
restaurant clean service fast bun cha good special portion k full,1
temporary food bit boring fat price affordable spacious space,1
bun cha hit definitely delicious cheap fried spring roll also delicious,1
good food friendly staff,1
good food cute staff clean space come back,1
traditional bun cha clean professional space,1
delicious bun cha airy clean seating enthusiastic staff manager nice owner zaii,1
service also fine suitable price delicious expected spring roll crumbly delicious,1
