Review,Label
ordered first two thing menu fried taro ball good lot table turnover fast get iced tea,1
real local spot many local lined waiting food wait minute get table food pretty good hanoi dish good something would travel still good local food good value well,1
local eat queue quick arrived number number,1
local restaurant specialises pho cuon pho chuen phong quite full time got tried pho cuon noodle freshly delivered made beef cooked well balanced flavour,1
fresh delightful prefer steamed version fried one good,1
restaurant entire experience package tucked center charming island bordering large ho tay lake offering perfect cap afternoon walking area,1
old school style food place place serf variety good food,1
went group friend whim food really good dont like pho much nice selection choose really enjoyed dish service bit confusing one menu,1
recommended hotel receptionist disappoint incredible food incredible value absolutely back try leave hanoi,1
pho cuon chinh thang offer delicious pho roll noodle roll pho roll vegetable meat filling also pho chien phong fried version pho white rice noodle sized like pillow cut,1
destroyed conception pho noodle soup pho prepared different way one beaten egg fried like silky omelette one deepfried creating mix manitou mochi pho roll smooth wedded tasty beef veggie lovely food,1
generally good experience nothing exceptional didnt wait long food served taste texture good,1
fantastic pho cuon fresh light combination thinly sliced beef herb rice noodle beef great savory flavor herb contribute refreshing aromatic quality dip nuoc cham make superb light lunch,1
one best meal vietnam pho roll amazing whole around quite escape busy hanoi street,1
fried pho pillow beef delicious banh guon blandest ive ever,1
got pho roll deep fried pho pillow pan fried pho good taste sauce overlapping fried one good sharing,1
pho cuon delicious service nice fast didnt troubling communicating english hole wall didnt expect atmosphere clean nice,1
managed find little gem sat outside street place real vibe going plenty local people enjoying amazing food looking authentic food hanoi place worth look,1
tourist knew going good food fresh tasty lovely street food,1
amazing first time pho cuon best meal ive hanoi lovely welcoming family small restaurant even ordered extra take away traveling tomorrow steamed veggie delicious highly recommend gluten free celiac safe menu,1
probably need introduce place anymore talk roll pho imo best anything pretty good reasonable price trying gimmicky attract foreigner like one overall area full roll pho operated night market weekend enjoy time guy,1
pho cuon cold super bland therefore amount sauce enough found irritating wanted pay service stay phone sent across street pay lady sitting side,0
terrible service super slow inattentive ordered something addition eating taking long somewhere else go told server cancel,1
heard original place rolled pho great food bargain price,1
tasty pho original pho cuon truc bach bit wait worth neighbor drink,1
stir fried vegetable beef shank bad taste like stir fried hor fun crispier use flour staff quite friendly place dine abit cramp hopefully space people dine,1
outstanding hanoi authentic street food perfect combination sweet sour,1
absolutely delicious vietnamese food ate beautician shop super busy mostly local good sign,1
charged small portion spring roll small warm beer,1
rice roll amazing also really enjoyed salad ordered fried pillow mixed pan fried pho reflection probably ordered fried pillow mixed consistency wasnt good really great experience overall though,1
great place give experience real street food everything absolutely delicious tried spring roll shrimp cake stir fried noodle beef really good even took extra spring roll later loved,1
