Review,Label,Predict_DT,Predict_RF
food amazing staff friendly helpful thing really bothering tho table quite small uncomfortable tall person like place packed super noisy table set right,1,1,1
teen friendly place cook mini bbq banh mi tasty range dipping sauce prepared splatter change wardrobe,1,1,1
terrible every way possible,0,1,0
good,1,1,1
second time ive eaten andeee coincidentally time ive eaten nguyen khang first time bit bad impression restaurant however long time ago dont remember clearly,0,0,0
group friend went friday night around pm restaurant quite crowded buffet k order food nvien bring separate kimchi vegetable counter shop beautiful clean staff friendly oh,1,1,1
kind distraction employee without giving good advice customer dinner saturday buffet price k friend ordering turned friend asked bit loudly,1,1,1
delicious food tender nam beef friend taste shop heart shop also congratulates birthday,1,1,1
great nothing complain guy nd floor pvu thoughtful enthusiastic nice handsome food delicious guy swallow tray beef recommend visit,1,1,1
went eat group people around pm kitchen announces close kitchen group table agreed order meter hot pot grill set kbiet staff confused nnao grill set,1,1,1
poor customer care there nothing left counter served customer eat meat wait sauce hour dont get,0,0,0
normal food grilled cast iron pan line counter nd floor sat st floor crowded around noon quite hot air conditioner working dont understand grill cast iron pan,1,1,1
grilled food okay taste nothing special food diverse best grilled dipping sauce tamarind sauce enthusiastic staff quick take care,1,1,1
food good service staff bit slow restaurant crowded restaurant noisy crowded bit stuffy book table advance,1,1,1
food bad beef smell meat fresh marinade bad vegetable rotten staff ok staff eat,1,0,0
staff indifferent negligent enthusiastic scissors bowl chopstick wine glass terribly dirty employee took didnt know dirty bad ask,0,0,0
really like eating nk restaurant end year food run quickly interviewer little slow think ok,1,1,1
restaurant food quite delicious yesterday went lunch restaurant quite crowded weekend sat nd floor full table female staff member serving care enthusiastic satisfied,1,1,1
ive tried eating grilled buffet establishment found set food tastier ordered hot pot grilled set set quite lot item eyecatching decoration variety meat beef,1,1,1
main food fresh variety dipping sauce side dish terrible especially fried rice filling beef tripe delicious,1,1,1
food come quite slowly dish pan clean close almost food,1,1,1
restaurant space spacious lot parking restaurant decorated quite beautifully chill outdoor grill clean bright counter mix dipping sauce liking freely order,1,1,1
absolutely amazing ive never eaten anywhere beef delicious one,1,1,1
food delicious filling price reasonable space large cool sitting outside cool went noon ordered water buffet k drank hehe,1,1,1
food meat normal marinated enough thing roll look like havent washed yet kimchi delicious dipping sauce delicious side dish normal fried rice light fry,1,1,1
evening january went restaurant eaten time returned didnt expect restaurant degraded food staff restaurant space unacceptable,0,1,1
eatdee appetizer dish like mexican minced beef nacho dish quite typical beef salsa light salty taste sour aroma,1,1,0
