Review,Label,Predict_DT,Predict_RF
delicious fried chicken crispy juicy fast service clean space great spot quick meal definitely come back,1,1,1
good service clean comfortable environment staff kind friendly,1,1,1
ok,1,1,0
ok,1,1,0
delicious food accommodating staff,1,1,1
ok,1,1,0
nv ok,1,1,0
keep good workservice crew especially anh manager chang friendly rest staff helpful efficient,1,1,1
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
nice,1,1,1
ok,1,1,0
ok,1,1,0
parking guy bad manner nobody restaurant changed parking location time take vnd friendly talk rude worth,0,1,0
ok good,1,1,1
ok,1,1,0
good tasty meal,1,1,1
nv cute,1,1,0
restaurant pretty empty lot grease table service okay get food quick ly,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
good,1,1,1
delicious love,1,1,1
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
friendly staff minimal english willing assist well done large eating area,1,1,1
ok,1,1,0
great chicken sumptuous reminded nigeria,1,1,1
ok,1,1,0
good place grab quick meal,1,1,1
ok good,1,1,1
nice view,1,1,1
really good customer service pm thanks,1,1,1
ok fast food,1,1,1
usual kfc style compare place good taste,1,1,1
quite good quick bite bit expensive usually crowded meal time,1,1,1
love friendly attendant tart egg,1,1,1
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
speacking englisch bad quality,0,0,0
bad service chip cold waited min chip chicken cold,0,0,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
dry chivkend worst kfc hn,0,1,0
ok,1,1,0
ok,1,1,0
ok,1,1,0
elec wan na give goodbye die goodbye die goodbye die goodbye,0,1,0
nice view food great,1,1,1
good,1,1,1
great service,1,1,1
good food,1,1,1
great service,1,1,1
enjoy fried chicken friend,1,1,0
quick delicious meal,1,1,1
really good,1,1,1
good,1,1,1
great food service,1,1,1
ok,1,1,0
ok,1,1,0
loving,1,1,0
good good,1,1,1
good,1,1,1
super,1,1,0
ok,1,1,0
ok,1,1,0
nice yummy,1,1,1
ok,1,1,0
ok,1,1,0
good service,1,1,1
good place,1,1,1
ok,1,1,0
quite good,1,1,1
ok,1,1,0
nice,1,1,1
good,1,1,1
delicious,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
good,1,1,1
like,1,1,0
good place,1,1,1
casual food,1,1,1
terribly unhealthy,0,1,0
good food kfc,1,1,1
food good,1,1,1
good,1,1,1
restaurant st floor building company eat sometimes food okay wow jollibee,1,1,0
said one first kfc establishment hanoi quality service dish good establishment year eating fried chicken greatly influenced,1,1,1
staff unreasonable wont answer order took hour complete asked would take long staff said couldnt wait would cancel staff irresponsible dont sell online anymore,0,1,0
best kfc branch ive ever food always exactly shown photo unlike llq always missing vegetable tomato manager staff everyone polite serf well,1,1,0
ordered meal food first impression meal carefully beautifully decorated lettuce bruised delivery guy friendly meet customer need although food delivered longer hot chicken still crispy rice still sticky,1,1,1
im used eating good food good service,1,1,1
compared year ago kfc like joke pepsi without ice pepper chicken without less pepper sauce maybe long since ive eaten deserves called bad global brand,1,0,0
ordered meal spf received food rice mushy like porridge,1,1,0
enthusiastic staff spacious space food come quickly,1,1,1
food delicious restaurant clean staff enthusiastic attentive often go kfc hqv eat see staff named le binh tung hardworking diligent hope everyone come support restaurant lot,1,1,1
clean restaurant enthusiastic staff,1,1,1
went eat directly restaurant security guard hoang quoc viet facility behaved badly scolded customer male employee even comforted security guard customer never said harsh word security guard restaurant extract camera,1,1,0
eaten quite time delicious,1,1,1
staff ok food good nothing change,1,1,1
house clean air conditioner cool food still,1,1,1
delicious staff ok dfaay many time,1,1,1
