Review,Label,Predict_DT,Predict_RF
tried hotpot bbq buffet k per persongreat food really nice staffthey kind helpful,1,1,1
food great stuff friendly highly recommended,1,1,1
hidden restaurant centre hanoi local gather value money place go take time book id recommend give call see could book table advance,1,1,0
good true,1,1,1
fantastic experience first big thank staff really helpful friendly accommodating food freshly cooked really delicious thank guy hope see good luck ciao,1,1,1
great restaurant overall food quality good staff extremely friendly attentive besides food bbq hotpot also get drink flatrate,1,1,1
great food traditional style cook awesome value including large range item ice cream softdrink juice back alley,1,1,1
affordable lot option included line counter fresh juice flan etc huge plus,1,1,1
food abundant excellent environment kinda noisy,1,1,1
great place highly recommend staff even speak english,1,1,1
great food fast service taylor swift space lol,1,1,1
siu recommend nha,1,1,1
stew delicious food find delicious suitable taste nama taste good eat piece many type ice cream choose,1,1,1
seating cramped food soggy watery lot salt pepper basket price high worst noisy hearing khangs curse annoying food delicious uncomfortable,0,1,1
proud diehard fan restaurant nearly year half since beginning restaurant still vo thi sau lucky enough eat mr khangs vermicelli noodle almost every month come eat,1,1,0
marinated food also includes lemongrass fragrant grilled best seller delicious nvien nice food carefully classified fresh frozen item ncl price suitable food delicious come back really satisfied,1,1,1
ive eating since still vo thi sau food delicious smoke made eye water day thought restaurant didnt smoke anymore would moving facility,1,1,1
food fresh delicious dont know grill burn black super fresh super delicious juice delicious dipping sauce chao dip stew would better flying sg eat bos,1,1,1
food delicious marinated meat delicious quality hot pot ball expensive appetite weak try next time fresh juice bar delicious fill juice quickly there,1,1,1
thai hot pot super delicious grilled normal line counter good enthusiastic attentive service,1,1,1
restaurant spacious clean fast polite staff food grilled quite good impressed eel whole squid,1,1,1
juice super delicious everyone type juice freely mix chose guava pineapple toadstool australian friend loved flavor,1,1,1
khang buffet nguyen khiet hanoi restaurant hot tiktok facebook friend asked know restaurant,1,1,1
buffet beyond praise fixed amount get unlimited number approach extensive menu seafood meat kind vegan product cooked coal right table staff work quickly,1,1,1
extremely amazing restaurant point nothing criticize point like beautiful space wall painted picture taylor swift,1,1,1
grilled meat food delicious especially seafood crackling price k eating like satisfying absorbs negative odor eating smell strong counter full kind,1,1,1
food bit slow arrive probably restaurant crowded staff generally quite enthusiastic space inside spacious actually one buffet restaurant,1,1,1
menu diverse many dish buffet price kperson includes drink dessert grilled food ok dipping sauce delicious appetizer chicken foot thai quan sauce spicy beverage counter,1,1,1
say correctly havent tried grilled buffet restaurant hanoi compared restaurant ka taste completely different especially meat swear really good eat know wet,1,1,1
looking review say delicious lot food day arrived nothing left tray meat left counter minute eating,1,1,1
