Review,Label,Predict_DT,Predict_RF
great time nolowa naengmyeon sweet spicy fried chicken standout food delicious atmosphere cozy service bit slow staff friendly would recommend,1,1,1
another musttry korean fried chicken restaurant hanoi seasoned spicy chicken one best dish taste flavour unforgettable,1,1,0
always want try restaurant based ok hype rather feel disappointed food okay price cheap imo reasonable dont like server inattentiveness,0,1,1
great restaurant food mainly fried item little bit kind junk food offer lot different option try tasty,1,1,1
fan since nollowa always togo restaurant anytime crave fried chicken staff super well trained nod head say hello customer see way,1,1,0
best chicken rose teokbokki town often come friend family nice service highly recommend make reservation coming restaurant,1,1,1
fried chicken onion cream sauce time rose tteokbokki surprisingly good staff quick friendly,1,1,1
food sweet staff even sweeter highly recommend,1,1,1
nollowa chicken expensive stylish looking place lousy service long time staff totally unable consult guest vietnamese explain side dish would come come bowl,0,0,0
food delicious especially chicken onion cream sauce cold noodle cold noodle used easily get stomachache due cold stomach service bit long restaurant,1,1,1
food tasty quite noisy looking upbeat atmosphere place recommendable,0,1,1
hand best korean fried chicken restaurant hanoi chicken always crispy outside soft inside cheese fried chicken favorite onion fried chicken nollowas signature pungent smell raw onion like onion get,1,1,1
nice place nice foodddddd,1,1,1
excellent place lunch,1,1,0
highly recommend korean visitor delicious sauce fresh fried chicken,1,1,1
onion chicken good taste cream onion jajang noodle delicious,1,1,1
ok,1,1,0
good,1,1,1
yummy,1,1,0
good,1,1,1
general good quality chicken product drawback might little bit much sauce reserved table came little bit earlier still free table also mentioned would reserve table max min reservation time aware crowded,1,1,1
food really good place truly deserves star could make change would make two would make sweet sauce little bit less sweet rly good ofter piece sweetness bit overwhelming would make,1,1,1
good food big serving recommend,1,1,1
staff bad booked hour accept said keep table min arrived time keep table,0,0,0
good,1,1,1
delicious,1,1,1
pretty nice weekend night friend family,1,1,1
place almost always crowded serving time best lot necessary eating utensil must requested always presented table really good korean fried chicken though worth overall,1,1,1
good,1,1,1
food fine tasty sauce price affordable music loud yell,1,1,1
ok,1,1,0
great place fried chicken,1,1,1
good tasty,1,1,1
ok,1,1,0
good,1,1,1
wonderful korean cuisine good service recommmended,1,1,1
good,1,1,1
nice food good service joyful expericence,1,1,1
crowded food actually pretty good like chicken lot toek little bit spicy,1,1,1
love restaurant,1,1,0
ok,1,1,0
