Review,Label,Predicted_Label
friendly helpful staff excellent service didnt vietnamese number connect wifi quickly helped sort food great,1,1
quite modern design got going place there also friendly waiter people customer service excellent oh yeah pasta awesome,1,1
another pizza hut everything stay store offer vegetarian option veggie cheese good even better normal option staff nice speak english,1,1
great,1,1
excellent,1,1
delicious nice staff,1,1
good,1,1
forced take away pm rudest manager ever life dont go post photo,1,1
friendly place cashier spoke english well enough food good pizza hut standard low price,1,1
good food,1,1
great,1,1
delicious,1,1
great,1,1
good,1,1
extremely delicious usually wait long time,1,1
focusing making original pizza taste better roll new idea regular basis good,1,1
perfect,1,1
expensive get much wait,0,0
nice,1,1
nice place friendly staff delicious food,1,1
good place good service,1,1
good,1,1
staff service taste good,1,1
nice view good pizza coke,1,1
niceee,1,1
delicious good attitude service,1,1
great,1,1
good,1,1
good,1,1
good,1,1
delicious,1,1
fantastic,1,1
good,1,1
good,1,1
quite good,1,1
delicious food airy seating good service even get bear,1,1
restaurant renovated much cleaner airier enthusiastic service staff food delicious,1,1
restaurant delicious clean staff warm come back next time,1,1
beautiful restaurant spacious space modern decor food matter discussion tour guide also attentive,1,1
delicious food beautiful space went march given flower come back support,1,1
food ok staff friendly enthusiastic food take bit time prepare,1,1
super delicious pizza lot topping reasonable price many gift incentive great manager uyen enthusiastic support support lot,1,1
delicious food good service staff clean kitchen,1,1
restaurant bright food okay compared price good lunch run program quite ok example today receive flower march,1,1
one word sauce promise support dedicated thoughtful advice,1,1
restaurant good service delicious food,1,1
delicious food dedicated staff beautiful space,1,1
delicious food beautiful space reasonable price enthusiastic friendly staff come back support,1,1
delicious food attentive staff,1,1
spageti noodle delicious flavorful pizza bit salty shop beautiful space chill every corner sparkling friendly staff paying given coin play fetching bear kid really like would great hit every shot get,1,1
good food clean restaurant friendly staff,1,1
long time fan since ive back beautiful spacious restaurant delicious food,1,1
restaurant space spacious clean beautiful pizza delicious eaten many time satisfied,1,1
good food space spacious comfortable airy affordable price,1,1
delicious food beautiful restaurant space child love,1,1
pizza delicious service staff quick restaurant also spacious space beautiful,1,1
delicious food kid love every time want eat pizza always ask pizza hut time also received coin pick animal,1,1
good experience enthusiastic staff super delicious food,1,1
food delicious hot newly opened space extremely clean staff enthusiastic come back shop,1,1
hot ngon cake airy clean space,1,1
space beautiful clean delicious attractive food,1,1
space spacious clean staff enthusiastic thoughtful,1,1
